Tue Mar 10 18:20:53 2020
--------------------------------------------------
LJ-Parameter Optimization
inital LJ parameter guess [sig, eps]: {'C': [1.0, 6.3535], 'O': [1.0808, 8.5357], 'Cu': [2.1717, 3.7575]}
Optimizer results: 
 fun: 0.05041178876918711 
 message: Max. number of function evaluations reached 
 nfev: 100 
 nit: 19 
 success: False
Fitted LJ parameters: {'C': array([1.        , 0.01294493]), 'O': array([1.        , 0.53814399]), 'Cu': array([1.02266441, 0.48878424])} 

Optimization time: 234.15043878555298 

Filename: COCu_12_6_newfit_f100_LJ
Dataset size: 100
Target scaling: [8.841315589518457, -1.23978318110162]
Symmetry function parameters:
     G2_etas: [0.05       0.23207944 1.07721735 5.        ]
     G2_rs_s: [0, 0, 0, 0]
     G4_etas: [0.005, 0.01]
     G4_zetas: [1.0, 4.0]
     G4_gammas: [1.0, -1]
     cutoff: 5.876798323827276
Device: cpu
Model: FullNN(
  (elementwise_models): ModuleDict(
    (Cu): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=60, out_features=20, bias=True)
        (1): Tanh()
        (2): Linear(in_features=20, out_features=20, bias=True)
        (3): Tanh()
        (4): Linear(in_features=20, out_features=1, bias=True)
      )
    )
    (O): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=60, out_features=20, bias=True)
        (1): Tanh()
        (2): Linear(in_features=20, out_features=20, bias=True)
        (3): Tanh()
        (4): Linear(in_features=20, out_features=1, bias=True)
      )
    )
    (C): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=60, out_features=20, bias=True)
        (1): Tanh()
        (2): Linear(in_features=20, out_features=20, bias=True)
        (3): Tanh()
        (4): Linear(in_features=20, out_features=1, bias=True)
      )
    )
  )
)
Architecture:
   Input Layer - 60
   # of Hidden Layers - 2
   Nodes/Layer - 20
Loss Function: <class 'amptorch.model.CustomLoss'>
Force coefficient: 0.04
Optimizer: <class 'torch.optim.lbfgs.LBFGS'>
Learning Rate: 0.1
Batch Size: 100
Epochs: 200
Shuffle: False
Train Split (k-fold if int, fraction if float): 5

Training initiated...
Epoch   EnergyRMSE    ForceRMSE    TrainLoss    ValidLoss     Dur
===== ============ ============ ============ ============ =======
    1       0.0022       0.1250       2.6735       0.0063  5.1161
    2       0.0028       0.0722       0.0416       0.0022  5.0355
    3       0.0006       0.0766       0.0295       0.0024  4.7717
    4       0.0012       0.0630       0.0193       0.0016  4.7321
    5       0.0015       0.0624       0.0139       0.0016  4.7445
    6       0.0010       0.0456       0.0094       0.0008  4.9572
    7       0.0006       0.0410       0.0064       0.0007  4.9692
    8       0.0006       0.0469       0.0054       0.0009  4.7038
    9       0.0006       0.0411       0.0046       0.0007  4.7221
   10       0.0012       0.0392       0.0042       0.0006  4.7771
   11       0.0013       0.0321       0.0038       0.0004  4.7247
   12       0.0012       0.0335       0.0035       0.0005  4.7040
   13       0.0003       0.0354       0.0033       0.0005  4.7890
   14       0.0004       0.0346       0.0031       0.0005  4.9076
   15       0.0002       0.0351       0.0030       0.0005  4.9018
   16       0.0003       0.0348       0.0029       0.0005  4.7413
   17       0.0005       0.0350       0.0028       0.0005  4.7065
   18       0.0005       0.0359       0.0027       0.0005  4.7172
   19       0.0004       0.0319       0.0027       0.0004  4.9487
   20       0.0004       0.0305       0.0026       0.0004  4.7271
   21       0.0003       0.0292       0.0025       0.0003  4.7335
   22       0.0002       0.0287       0.0024       0.0003  4.7304
   23       0.0002       0.0303       0.0023       0.0004  4.7428
   24       0.0004       0.0291       0.0022       0.0003  4.7498
   25       0.0003       0.0281       0.0022       0.0003  4.9757
   26       0.0002       0.0277       0.0021       0.0003  4.9424
   27       0.0003       0.0272       0.0021       0.0003  4.7646
   28       0.0003       0.0268       0.0020       0.0003  4.7407
   29       0.0003       0.0260       0.0020       0.0003  4.7818
   30       0.0003       0.0272       0.0020       0.0003  4.9749
   31       0.0002       0.0271       0.0020       0.0003  4.9883
   32       0.0003       0.0272       0.0020       0.0003  4.9508
   33       0.0005       0.0258       0.0019       0.0003  4.9928
   34       0.0002       0.0255       0.0019       0.0003  4.7509
   35       0.0002       0.0254       0.0019       0.0003  4.9605
   36       0.0002       0.0258       0.0018       0.0003  4.9347
   37       0.0001       0.0236       0.0018       0.0002  4.9518
   38       0.0001       0.0237       0.0018       0.0002  4.8641
   39       0.0002       0.0228       0.0018       0.0002  4.9284
   40       0.0002       0.0229       0.0018       0.0002  4.7775
   41       0.0002       0.0230       0.0017       0.0002  4.7613
   42       0.0001       0.0228       0.0017       0.0002  4.9719
   43       0.0002       0.0226       0.0017       0.0002  5.0452
   44       0.0002       0.0244       0.0017       0.0002  4.9639
   45       0.0002       0.0216       0.0016       0.0002  4.5764
   46       0.0002       0.0212       0.0016       0.0002  4.9514
   47       0.0001       0.0219       0.0016       0.0002  4.7793
   48       0.0002       0.0208       0.0016       0.0002  4.7888
   49       0.0002       0.0201       0.0016       0.0002  4.9277
   50       0.0003       0.0182       0.0016       0.0001  4.7759
   51       0.0002       0.0183       0.0015       0.0001  4.9760
   52       0.0002       0.0189       0.0015       0.0001  4.7629
   53       0.0001       0.0188       0.0015       0.0001  4.9678
   54       0.0001       0.0195       0.0015       0.0002  4.7980
   55       0.0001       0.0191       0.0015       0.0001  4.7840
   56       0.0002       0.0205       0.0015       0.0002  4.7773
   57       0.0001       0.0198       0.0014       0.0002  5.0083
   58       0.0000       0.0179       0.0014       0.0001  4.7950
   59       0.0000       0.0177       0.0014       0.0001  4.9425
   60       0.0000       0.0165       0.0014       0.0001  4.7759
   61       0.0000       0.0167       0.0014       0.0001  4.8336
   62       0.0001       0.0179       0.0014       0.0001  4.7787
   63       0.0001       0.0184       0.0013       0.0001  4.7445
   64       0.0001       0.0193       0.0013       0.0001  4.7337
   65       0.0001       0.0193       0.0013       0.0001  4.8304
   66       0.0001       0.0199       0.0013       0.0002  4.8136
   67       0.0001       0.0202       0.0013       0.0002  5.0816
   68       0.0001       0.0201       0.0013       0.0002  4.8033
   69       0.0000       0.0194       0.0013       0.0002  4.7788
   70       0.0001       0.0189       0.0013       0.0001  5.0207
   71       0.0001       0.0192       0.0013       0.0001  4.8220
   72       0.0001       0.0192       0.0013       0.0001  4.8112
   73       0.0001       0.0209       0.0012       0.0002  5.0294
   74       0.0001       0.0219       0.0012       0.0002  4.8881
   75       0.0001       0.0219       0.0012       0.0002  4.8128
