Sun Mar 15 12:53:41 2020
--------------------------------------------------
Filename: COCu_ml_f100
Dataset size: 100
Target scaling: [0, 0]
Symmetry function parameters:
     G2_etas: [0.05       0.09653489 0.18637969 0.35984284 0.69474775 1.3413479
 2.58973734 5.        ]
     G2_rs_s: [0, 0, 0, 0, 0, 0, 0, 0]
     G4_etas: [0.005, 0.01]
     G4_zetas: [1.0, 4.0, 6.0]
     G4_gammas: [1.0, -1]
     cutoff: 5.876798323827276
Device: cpu
Model: FullNN(
  (elementwise_models): ModuleDict(
    (Cu): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=96, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
    (O): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=96, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
    (C): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=96, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
  )
)
Architecture:
   Input Layer - 96
   # of Hidden Layers - 3
   Nodes/Layer - 30
Loss Function: <class 'amptorch.model.CustomLoss'>
Force coefficient: 0.04
Optimizer: <class 'torch.optim.lbfgs.LBFGS'>
Learning Rate: 0.1
Batch Size: 100
Epochs: 300
Shuffle: False
Train Split (k-fold if int, fraction if float): 5

Training initiated...
Epoch   EnergyRMSE    ForceRMSE    TrainLoss    ValidLoss     Dur
===== ============ ============ ============ ============ =======
    1       0.0051       0.2820       3.0444       0.0321  7.5322
    2       0.0067       0.3099       0.1494       0.0389  7.5195
    3       0.0019       0.1459       0.0804       0.0085  7.4688
    4       0.0021       0.1300       0.0360       0.0068  7.8489
    5       0.0014       0.0781       0.0301       0.0025  7.5532
    6       0.0011       0.0863       0.0162       0.0030  7.5491
    7       0.0006       0.0703       0.0099       0.0020  7.8528
    8       0.0006       0.0606       0.0075       0.0015  8.0666
    9       0.0008       0.0567       0.0062       0.0013  7.8000
   10       0.0003       0.0537       0.0048       0.0012  7.7355
   11       0.0004       0.0471       0.0044       0.0009  7.6809
   12       0.0004       0.0511       0.0038       0.0010  7.6492
   13       0.0001       0.0480       0.0034       0.0009  7.6566
   14       0.0006       0.0566       0.0030       0.0013  8.0407
   15       0.0002       0.0613       0.0028       0.0015  7.7910
   16       0.0002       0.0641       0.0026       0.0016  7.7144
   17       0.0002       0.0666       0.0024       0.0018  7.7112
   18       0.0004       0.0525       0.0023       0.0011  7.7034
   19       0.0002       0.0517       0.0021       0.0011  7.9206
   20       0.0003       0.0449       0.0020       0.0008  8.0434
   21       0.0002       0.0424       0.0020       0.0007  7.8943
   22       0.0001       0.0393       0.0019       0.0006  7.9371
   23       0.0003       0.0434       0.0018       0.0008  7.9196
   24       0.0003       0.0425       0.0017       0.0007  7.6019
   25       0.0003       0.0391       0.0017       0.0006  7.6008
   26       0.0002       0.0379       0.0015       0.0006  7.9245
   27       0.0002       0.0317       0.0015       0.0004  8.0896
   28       0.0003       0.0320       0.0014       0.0004  8.2138
   29       0.0003       0.0316       0.0014       0.0004  7.8220
   30       0.0003       0.0327       0.0013       0.0004  7.9465
   31       0.0002       0.0300       0.0013       0.0004  8.1565
   32       0.0002       0.0266       0.0012       0.0003  8.1643
   33       0.0002       0.0257       0.0012       0.0003  7.6075
   34       0.0003       0.0259       0.0011       0.0003  8.1912
