Tue Mar 17 20:31:35 2020
--------------------------------------------------
Filename: COCu_ml_mdseed_f100
Dataset size: 100
Target scaling: [0, 0]
Symmetry function parameters:
     G2_etas: [0.05       0.23207944 1.07721735 5.        ]
     G2_rs_s: [0, 0, 0, 0]
     G4_etas: [0.005]
     G4_zetas: [1.0, 4.0]
     G4_gammas: [1.0, -1]
     cutoff: 5.876798323827276
Device: cpu
Model: FullNN(
  (elementwise_models): ModuleDict(
    (Cu): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=36, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
    (O): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=36, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
    (C): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=36, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
  )
)
Architecture:
   Input Layer - 36
   # of Hidden Layers - 3
   Nodes/Layer - 30
Loss Function: <class 'amptorch.model.CustomLoss'>
Force coefficient: 0.04
Optimizer: <class 'torch.optim.lbfgs.LBFGS'>
Learning Rate: 0.1
Batch Size: 100
Epochs: 300
Shuffle: False
Train Split (k-fold if int, fraction if float): 5

Training initiated...
Epoch   EnergyRMSE    ForceRMSE    TrainLoss    ValidLoss     Dur
===== ============ ============ ============ ============ =======
    1       0.0064       0.2439       0.4102       0.0242  3.8114
    2       0.0051       0.0980       0.0735       0.0041  3.7299
    3       0.0052       0.0906       0.0396       0.0036  3.7646
    4       0.0024       0.0730       0.0355       0.0022  3.7937
    5       0.0006       0.0493       0.0211       0.0010  3.7509
    6       0.0014       0.0554       0.0116       0.0012  3.6743
    7       0.0020       0.0616       0.0065       0.0016  3.9393
    8       0.0011       0.0531       0.0053       0.0011  3.7166
    9       0.0022       0.0529       0.0040       0.0012  3.8443
   10       0.0009       0.0484       0.0035       0.0009  3.6644
   11       0.0009       0.0460       0.0033       0.0009  3.6960
   12       0.0009       0.0425       0.0031       0.0007  3.8933
   13       0.0010       0.0397       0.0029       0.0006  3.6841
   14       0.0006       0.0404       0.0028       0.0007  3.7431
   15       0.0008       0.0406       0.0027       0.0007  3.8203
   16       0.0006       0.0478       0.0026       0.0009  3.7416
   17       0.0005       0.0406       0.0025       0.0007  4.0265
   18       0.0006       0.0405       0.0024       0.0007  3.8659
   19       0.0004       0.0488       0.0024       0.0010  3.7952
   20       0.0003       0.0496       0.0023       0.0010  3.7402
   21       0.0005       0.0461       0.0022       0.0009  3.7174
   22       0.0005       0.0468       0.0022       0.0009  3.7606
   23       0.0003       0.0409       0.0021       0.0007  3.8907
   24       0.0003       0.0409       0.0021       0.0007  3.8484
   25       0.0004       0.0400       0.0021       0.0006  3.8835
   26       0.0002       0.0376       0.0020       0.0006  3.6737
   27       0.0003       0.0361       0.0020       0.0005  3.7001
   28       0.0003       0.0359       0.0020       0.0005  3.7268
   29       0.0003       0.0355       0.0020       0.0005  3.8932
   30       0.0004       0.0355       0.0020       0.0005  3.9993
   31       0.0003       0.0338       0.0020       0.0005  3.9806
   32       0.0004       0.0343       0.0019       0.0005  3.7916
   33       0.0003       0.0329       0.0019       0.0004  4.0819
   34       0.0005       0.0342       0.0019       0.0005  3.8289
   35       0.0003       0.0324       0.0019       0.0004  3.9302
   36       0.0003       0.0315       0.0019       0.0004  3.9430
   37       0.0003       0.0315       0.0018       0.0004  3.8375
   38       0.0004       0.0317       0.0018       0.0004  3.7190
   39       0.0003       0.0319       0.0018       0.0004  3.6872
   40       0.0004       0.0327       0.0018       0.0004  3.8790
   41       0.0006       0.0331       0.0018       0.0004  3.9240
   42       0.0003       0.0309       0.0018       0.0004  3.4100
   43       0.0002       0.0309       0.0018       0.0004  3.7284
   44       0.0002       0.0300       0.0017       0.0004  3.7656
   45       0.0002       0.0304       0.0017       0.0004  3.9124
   46       0.0002       0.0318       0.0017       0.0004  3.7244
   47       0.0002       0.0329       0.0017       0.0004  3.8239
   48       0.0002       0.0332       0.0017       0.0004  3.7096
   49       0.0002       0.0340       0.0017       0.0005  3.6767
   50       0.0001       0.0320       0.0017       0.0004  3.6963
   51       0.0003       0.0331       0.0017       0.0004  3.7032
   52       0.0002       0.0313       0.0016       0.0004  4.0151
   53       0.0002       0.0308       0.0016       0.0004  3.8289
   54       0.0001       0.0276       0.0016       0.0003  3.9006
   55       0.0002       0.0291       0.0016       0.0003  3.8170
   56       0.0002       0.0286       0.0016       0.0003  3.6721
   57       0.0002       0.0292       0.0016       0.0003  3.8836
   58       0.0003       0.0300       0.0015       0.0004  3.8789
   59       0.0002       0.0307       0.0015       0.0004  3.7184
   60       0.0003       0.0326       0.0015       0.0004  3.7679
   61       0.0003       0.0336       0.0015       0.0005  3.7503
   62       0.0002       0.0336       0.0015       0.0005  3.7026
   63       0.0003       0.0332       0.0015       0.0004  3.8668
   64       0.0003       0.0326       0.0015       0.0004  3.8640
   65       0.0001       0.0292       0.0014       0.0003  3.9120
   66       0.0002       0.0287       0.0014       0.0003  4.0596
   67       0.0001       0.0272       0.0014       0.0003  3.7306
   68       0.0001       0.0271       0.0014       0.0003  4.0120
   69       0.0001       0.0260       0.0014       0.0003  3.8533
