Wed Mar 18 20:09:27 2020
--------------------------------------------------
Filename: COCu_ml_mdseed_f100_2
Dataset size: 100
Target scaling: [0, 0]
Symmetry function parameters:
     G2_etas: [0.05       0.23207944 1.07721735 5.        ]
     G2_rs_s: [0, 0, 0, 0]
     G4_etas: [0.005]
     G4_zetas: [1.0, 4.0]
     G4_gammas: [1.0, -1]
     cutoff: 5.876798323827276
Device: cpu
Model: FullNN(
  (elementwise_models): ModuleDict(
    (Cu): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=36, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
    (O): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=36, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
    (C): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=36, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
  )
)
Architecture:
   Input Layer - 36
   # of Hidden Layers - 3
   Nodes/Layer - 30
Loss Function: <class 'amptorch.model.CustomLoss'>
Force coefficient: 0.04
Optimizer: <class 'torch.optim.lbfgs.LBFGS'>
Learning Rate: 0.1
Batch Size: 100
Epochs: 300
Shuffle: False
Train Split (k-fold if int, fraction if float): 5

Training initiated...
Epoch   EnergyRMSE    ForceRMSE    TrainLoss    ValidLoss     Dur
===== ============ ============ ============ ============ =======
    1       0.0049       0.2134       6.7134       0.0184  3.5815
    2       0.0052       0.1026       0.0890       0.0045  3.4793
    3       0.0057       0.0989       0.0424       0.0042  3.4657
    4       0.0035       0.1118       0.0387       0.0051  3.7722
    5       0.0019       0.1036       0.0307       0.0043  3.6400
    6       0.0024       0.0716       0.0205       0.0021  3.6044
    7       0.0012       0.0640       0.0109       0.0017  3.9147
    8       0.0016       0.0671       0.0076       0.0018  3.9019
    9       0.0008       0.0588       0.0067       0.0014  4.0931
   10       0.0011       0.0624       0.0061       0.0016  4.0302
   11       0.0014       0.0559       0.0055       0.0013  3.7464
   12       0.0012       0.0520       0.0046       0.0011  3.9624
   13       0.0007       0.0533       0.0043       0.0011  4.0608
   14       0.0011       0.0580       0.0041       0.0014  4.0788
   15       0.0012       0.0550       0.0038       0.0012  3.8856
   16       0.0007       0.0532       0.0037       0.0011  3.9174
   17       0.0010       0.0536       0.0035       0.0012  3.7188
   18       0.0005       0.0504       0.0033       0.0010  4.2272
   19       0.0002       0.0450       0.0032       0.0008  4.3369
   20       0.0003       0.0447       0.0031       0.0008  4.0683
   21       0.0004       0.0416       0.0030       0.0007  4.0942
   22       0.0005       0.0413       0.0029       0.0007  3.8819
   23       0.0006       0.0417       0.0029       0.0007  3.7759
   24       0.0009       0.0451       0.0028       0.0008  4.2482
   25       0.0007       0.0465       0.0027       0.0009  4.0433
   26       0.0006       0.0464       0.0026       0.0009  3.7605
   27       0.0005       0.0456       0.0025       0.0008  3.8857
   28       0.0005       0.0438       0.0025       0.0008  3.8654
   29       0.0004       0.0465       0.0024       0.0009  3.9093
   30       0.0003       0.0452       0.0023       0.0008  3.7574
   31       0.0003       0.0444       0.0022       0.0008  3.9773
   32       0.0005       0.0433       0.0022       0.0008  3.7607
   33       0.0008       0.0408       0.0022       0.0007  3.7618
   34       0.0004       0.0365       0.0021       0.0005  3.9586
   35       0.0007       0.0371       0.0021       0.0006  3.9658
   36       0.0006       0.0349       0.0021       0.0005  3.9181
   37       0.0007       0.0351       0.0020       0.0005  3.7300
   38       0.0006       0.0351       0.0020       0.0005  3.9028
   39       0.0005       0.0318       0.0020       0.0004  3.8539
   40       0.0005       0.0309       0.0020       0.0004  3.7798
   41       0.0005       0.0308       0.0020       0.0004  3.8399
   42       0.0004       0.0311       0.0019       0.0004  4.0919
   43       0.0003       0.0309       0.0019       0.0004  3.8279
   44       0.0003       0.0300       0.0019       0.0004  4.1136
   45       0.0003       0.0292       0.0019       0.0003  3.8850
   46       0.0003       0.0295       0.0019       0.0003  3.9992
   47       0.0003       0.0309       0.0018       0.0004  3.8508
   48       0.0005       0.0301       0.0018       0.0004  3.9669
   49       0.0004       0.0304       0.0018       0.0004  3.9892
   50       0.0004       0.0305       0.0018       0.0004  4.1336
   51       0.0003       0.0302       0.0018       0.0004  4.2790
   52       0.0002       0.0295       0.0018       0.0003  4.1149
   53       0.0003       0.0283       0.0018       0.0003  3.9510
   54       0.0004       0.0279       0.0017       0.0003  4.0098
   55       0.0004       0.0278       0.0017       0.0003  4.3004
   56       0.0004       0.0285       0.0017       0.0003  4.2300
   57       0.0005       0.0300       0.0017       0.0004  4.1046
   58       0.0004       0.0295       0.0017       0.0003  4.1001
   59       0.0005       0.0295       0.0017       0.0004  4.0243
   60       0.0005       0.0292       0.0017       0.0003  4.0611
   61       0.0004       0.0292       0.0016       0.0003  4.0430
   62       0.0004       0.0275       0.0016       0.0003  3.9988
   63       0.0003       0.0267       0.0016       0.0003  3.4852
   64       0.0003       0.0262       0.0016       0.0003  3.8649
   65       0.0003       0.0262       0.0016       0.0003  3.7896
   66       0.0002       0.0268       0.0016       0.0003  3.7881
   67       0.0002       0.0267       0.0015       0.0003  4.1127
   68       0.0002       0.0261       0.0015       0.0003  3.8986
   69       0.0002       0.0257       0.0015       0.0003  3.9771
   70       0.0002       0.0252       0.0015       0.0003  3.9047
   71       0.0002       0.0258       0.0015       0.0003  4.0038
   72       0.0001       0.0258       0.0015       0.0003  4.0280
   73       0.0001       0.0256       0.0015       0.0003  3.9830
   74       0.0001       0.0251       0.0015       0.0003  3.7706
   75       0.0001       0.0258       0.0015       0.0003  3.7832
   76       0.0002       0.0260       0.0014       0.0003  3.9187
   77       0.0001       0.0258       0.0014       0.0003  3.9224
   78       0.0001       0.0266       0.0014       0.0003  3.9620
   79       0.0002       0.0268       0.0014       0.0003  3.9884
   80       0.0001       0.0268       0.0014       0.0003  3.9691
   81       0.0002       0.0275       0.0014       0.0003  3.8056
   82       0.0002       0.0286       0.0014       0.0003  3.8658
   83       0.0003       0.0274       0.0014       0.0003  3.9484
   84       0.0002       0.0265       0.0014       0.0003  4.3646
   85       0.0003       0.0248       0.0014       0.0002  4.0461
   86       0.0000       0.0251       0.0013       0.0003  3.8863
   87       0.0001       0.0258       0.0013       0.0003  3.7669
   88       0.0002       0.0273       0.0013       0.0003  3.9681
   89       0.0002       0.0275       0.0013       0.0003  4.1048
   90       0.0002       0.0282       0.0013       0.0003  4.0076
   91       0.0002       0.0285       0.0012       0.0003  3.9098
   92       0.0003       0.0286       0.0012       0.0003  3.8906
   93       0.0003       0.0291       0.0012       0.0003  3.7841
   94       0.0004       0.0301       0.0012       0.0004  4.1073
   95       0.0003       0.0287       0.0012       0.0003  3.9903
   96       0.0004       0.0301       0.0012       0.0004  4.1062
   97       0.0004       0.0307       0.0012       0.0004  3.7920
   98       0.0003       0.0297       0.0012       0.0004  4.0858
   99       0.0003       0.0295       0.0012       0.0003  3.9200
  100       0.0003       0.0287       0.0012       0.0003  3.9276
  101       0.0003       0.0289       0.0012       0.0003  3.9123
  102       0.0003       0.0279       0.0012       0.0003  3.7807
  103       0.0004       0.0287       0.0012       0.0003  4.0024
  104       0.0004       0.0289       0.0012       0.0003  3.9483
  105       0.0003       0.0287       0.0012       0.0003  3.7564
  106       0.0004       0.0294       0.0011       0.0003  4.1720
  107       0.0003       0.0287       0.0011       0.0003  4.0591
  108       0.0003       0.0278       0.0011       0.0003  4.1577
  109       0.0003       0.0260       0.0011       0.0003  3.8470
  110       0.0003       0.0256       0.0011       0.0003  4.0219
  111       0.0002       0.0249       0.0011       0.0002  4.1058
  112       0.0002       0.0244       0.0011       0.0002  3.9865
  113       0.0001       0.0233       0.0011       0.0002  4.1420
  114       0.0002       0.0228       0.0011       0.0002  3.8337
  115       0.0001       0.0214       0.0011       0.0002  4.0215
  116       0.0002       0.0218       0.0011       0.0002  4.1560
  117       0.0002       0.0216       0.0011       0.0002  3.9532
  118       0.0002       0.0217       0.0011       0.0002  3.7568
  119       0.0002       0.0222       0.0011       0.0002  4.0848
  120       0.0003       0.0227       0.0010       0.0002  3.8892
  121       0.0003       0.0239       0.0010       0.0002  3.9572
  122       0.0003       0.0249       0.0010       0.0002  4.1541
  123       0.0003       0.0257       0.0010       0.0003  4.1145
  124       0.0004       0.0256       0.0010       0.0003  3.8505
  125       0.0003       0.0259       0.0010       0.0003  3.9280
  126       0.0003       0.0253       0.0010       0.0003  3.8120
  127       0.0002       0.0242       0.0010       0.0002  3.8950
  128       0.0003       0.0241       0.0010       0.0002  3.7856
  129       0.0002       0.0244       0.0010       0.0002  3.9071
  130       0.0003       0.0247       0.0010       0.0002  4.1095
  131       0.0002       0.0233       0.0009       0.0002  3.8153
  132       0.0003       0.0237       0.0009       0.0002  4.0568
  133       0.0003       0.0245       0.0009       0.0002  3.7530
  134       0.0003       0.0241       0.0009       0.0002  3.7419
  135       0.0003       0.0245       0.0009       0.0002  3.9739
  136       0.0004       0.0245       0.0009       0.0002  3.8394
  137       0.0003       0.0229       0.0009       0.0002  3.8589
  138       0.0003       0.0227       0.0009       0.0002  3.9735
  139       0.0003       0.0230       0.0009       0.0002  4.0249
  140       0.0003       0.0229       0.0009       0.0002  3.9004
  141       0.0003       0.0230       0.0009       0.0002  4.1756
  142       0.0003       0.0229       0.0009       0.0002  3.9937
  143       0.0003       0.0234       0.0009       0.0002  3.9667
  144       0.0002       0.0232       0.0009       0.0002  4.0398
  145       0.0002       0.0214       0.0009       0.0002  4.2875
  146       0.0001       0.0202       0.0009       0.0002  4.0401
  147       0.0001       0.0199       0.0008       0.0002  3.7917
  148       0.0001       0.0184       0.0008       0.0001  3.9558
  149       0.0001       0.0181       0.0008       0.0001  4.2186
  150       0.0001       0.0180       0.0008       0.0001  3.9858
  151       0.0001       0.0186       0.0008       0.0001  4.1317
  152       0.0001       0.0184       0.0008       0.0001  3.8237
  153       0.0001       0.0182       0.0008       0.0001  3.8666
  154       0.0001       0.0183       0.0008       0.0001  4.0912
  155       0.0001       0.0186       0.0008       0.0001  3.8873
  156       0.0001       0.0182       0.0008       0.0001  3.9920
  157       0.0000       0.0184       0.0008       0.0001  3.7711
  158       0.0001       0.0187       0.0008       0.0001  3.9949
  159       0.0001       0.0184       0.0007       0.0001  3.9426
  160       0.0001       0.0182       0.0007       0.0001  4.1411
  161       0.0001       0.0189       0.0007       0.0001  3.9642
  162       0.0001       0.0196       0.0007       0.0002  3.9142
  163       0.0001       0.0195       0.0007       0.0002  3.5639
  164       0.0001       0.0194       0.0007       0.0002  3.7784
  165       0.0002       0.0191       0.0007       0.0001  3.9934
  166       0.0001       0.0189       0.0007       0.0001  4.2927
  167       0.0001       0.0192       0.0007       0.0001  3.8777
  168       0.0001       0.0190       0.0007       0.0001  3.9499
  169       0.0001       0.0192       0.0007       0.0001  3.9093
  170       0.0001       0.0192       0.0007       0.0001  3.9787
  171       0.0001       0.0192       0.0007       0.0001  4.1267
  172       0.0001       0.0190       0.0007       0.0001  3.9440
  173       0.0001       0.0198       0.0007       0.0002  3.8142
  174       0.0001       0.0199       0.0007       0.0002  3.8220
  175       0.0001       0.0203       0.0007       0.0002  3.8286
  176       0.0001       0.0195       0.0007       0.0002  4.1399
  177       0.0001       0.0194       0.0007       0.0002  3.9505
  178       0.0001       0.0195       0.0007       0.0002  4.3242
  179       0.0001       0.0193       0.0007       0.0001  3.8752
  180       0.0001       0.0197       0.0007       0.0002  3.9515
  181       0.0001       0.0196       0.0007       0.0002  4.0425
  182       0.0001       0.0194       0.0007       0.0002  4.0190
  183       0.0001       0.0189       0.0007       0.0001  4.0260
  184       0.0001       0.0193       0.0007       0.0001  3.9281
  185       0.0001       0.0193       0.0007       0.0001  3.9700
  186       0.0001       0.0193       0.0007       0.0001  4.1293
  187       0.0001       0.0188       0.0007       0.0001  4.1447
  188       0.0001       0.0191       0.0007       0.0001  4.0375
  189       0.0001       0.0191       0.0007       0.0001  3.9822
  190       0.0001       0.0194       0.0007       0.0002  3.9716
  191       0.0001       0.0186       0.0006       0.0001  3.9332
  192       0.0001       0.0184       0.0006       0.0001  4.1886
  193       0.0001       0.0187       0.0006       0.0001  3.9796
  194       0.0001       0.0192       0.0006       0.0001  4.1150
  195       0.0001       0.0195       0.0006       0.0002  3.7825
  196       0.0002       0.0202       0.0006       0.0002  3.8469
  197       0.0001       0.0200       0.0006       0.0002  3.8294
  198       0.0001       0.0198       0.0006       0.0002  3.8699
  199       0.0002       0.0203       0.0006       0.0002  3.9398
  200       0.0001       0.0200       0.0006       0.0002  4.1188
  201       0.0001       0.0198       0.0006       0.0002  3.9871
  202       0.0001       0.0194       0.0006       0.0002  3.9277
  203       0.0001       0.0201       0.0006       0.0002  3.6155
  204       0.0001       0.0206       0.0006       0.0002  3.8952
  205       0.0001       0.0204       0.0006       0.0002  4.1410
  206       0.0001       0.0212       0.0006       0.0002  3.8243
  207       0.0001       0.0209       0.0006       0.0002  4.0037
  208       0.0001       0.0207       0.0006       0.0002  3.8566
  209       0.0001       0.0202       0.0006       0.0002  3.9160
  210       0.0001       0.0195       0.0006       0.0002  3.9298
  211       0.0001       0.0194       0.0006       0.0002  3.8154
  212       0.0001       0.0197       0.0006       0.0002  3.8606
  213       0.0001       0.0200       0.0006       0.0002  3.8938
  214       0.0001       0.0197       0.0006       0.0002  4.0120
  215       0.0001       0.0191       0.0006       0.0001  4.2498
  216       0.0001       0.0187       0.0006       0.0001  3.9905
  217       0.0001       0.0181       0.0006       0.0001  4.0263
  218       0.0000       0.0185       0.0005       0.0001  4.1079
  219       0.0001       0.0183       0.0005       0.0001  4.0528
  220       0.0001       0.0186       0.0005       0.0001  3.9628
  221       0.0001       0.0186       0.0005       0.0001  3.7812
  222       0.0001       0.0184       0.0005       0.0001  3.8960
  223       0.0002       0.0186       0.0005       0.0001  3.9448
  224       0.0002       0.0186       0.0005       0.0001  4.1810
  225       0.0001       0.0187       0.0005       0.0001  3.8285
  226       0.0002       0.0181       0.0005       0.0001  3.9607
  227       0.0002       0.0184       0.0005       0.0001  3.9337
  228       0.0001       0.0175       0.0005       0.0001  3.7879
  229       0.0002       0.0175       0.0005       0.0001  4.0287
  230       0.0001       0.0173       0.0005       0.0001  3.9427
  231       0.0002       0.0173       0.0005       0.0001  3.9736
  232       0.0002       0.0174       0.0005       0.0001  4.2376
  233       0.0002       0.0174       0.0005       0.0001  3.9943
  234       0.0002       0.0172       0.0005       0.0001  3.7970
  235       0.0002       0.0174       0.0005       0.0001  3.9185
  236       0.0002       0.0175       0.0005       0.0001  3.9499
  237       0.0002       0.0174       0.0005       0.0001  3.9363
  238       0.0002       0.0174       0.0005       0.0001  4.0078
  239       0.0002       0.0173       0.0005       0.0001  3.9078
  240       0.0001       0.0169       0.0005       0.0001  3.9899
  241       0.0002       0.0171       0.0005       0.0001  3.9171
  242       0.0001       0.0168       0.0005       0.0001  3.7921
  243       0.0002       0.0167       0.0005       0.0001  3.8413
  244       0.0002       0.0170       0.0005       0.0001  3.9461
  245       0.0002       0.0170       0.0005       0.0001  3.9312
  246       0.0002       0.0173       0.0005       0.0001  3.8210
  247       0.0003       0.0178       0.0005       0.0001  3.9952
  248       0.0003       0.0179       0.0005       0.0001  4.0926
  249       0.0003       0.0177       0.0005       0.0001  4.0725
  250       0.0003       0.0178       0.0004       0.0001  3.8529
  251       0.0003       0.0179       0.0004       0.0001  4.0197
  252       0.0003       0.0183       0.0004       0.0001  4.0646
  253       0.0003       0.0186       0.0004       0.0001  3.7766
  254       0.0003       0.0186       0.0004       0.0001  3.8852
  255       0.0003       0.0190       0.0004       0.0001  4.3414
  256       0.0003       0.0188       0.0004       0.0001  4.1414
  257       0.0003       0.0183       0.0004       0.0001  4.0859
  258       0.0003       0.0178       0.0004       0.0001  3.9203
  259       0.0003       0.0176       0.0004       0.0001  3.8389
  260       0.0003       0.0172       0.0004       0.0001  3.9200
  261       0.0003       0.0177       0.0004       0.0001  3.9183
  262       0.0003       0.0177       0.0004       0.0001  4.0033
  263       0.0003       0.0181       0.0004       0.0001  4.1779
  264       0.0004       0.0183       0.0004       0.0001  4.0508
  265       0.0004       0.0186       0.0004       0.0001  4.4282
  266       0.0004       0.0186       0.0004       0.0001  3.7847
  267       0.0004       0.0189       0.0004       0.0001  3.7753
  268       0.0004       0.0201       0.0004       0.0002  3.7706
  269       0.0004       0.0206       0.0004       0.0002  3.8169
  270       0.0004       0.0198       0.0004       0.0002  3.9728
  271       0.0004       0.0203       0.0004       0.0002  3.7916
  272       0.0004       0.0211       0.0004       0.0002  4.1237
  273       0.0004       0.0213       0.0004       0.0002  4.1435
  274       0.0004       0.0207       0.0004       0.0002  4.0914
  275       0.0004       0.0207       0.0004       0.0002  3.7559
  276       0.0004       0.0216       0.0004       0.0002  3.6945
  277       0.0003       0.0201       0.0004       0.0002  4.2967
  278       0.0004       0.0212       0.0004       0.0002  4.2068
  279       0.0004       0.0218       0.0004       0.0002  4.0417
  280       0.0004       0.0214       0.0004       0.0002  3.7959
  281       0.0004       0.0212       0.0004       0.0002  3.9612
  282       0.0004       0.0211       0.0004       0.0002  3.9538
  283       0.0004       0.0214       0.0004       0.0002  4.0177
  284       0.0003       0.0207       0.0004       0.0002  3.9406
  285       0.0003       0.0202       0.0004       0.0002  4.2454
  286       0.0004       0.0211       0.0004       0.0002  3.8749
  287       0.0003       0.0211       0.0004       0.0002  4.0182
  288       0.0003       0.0207       0.0004       0.0002  3.8358
  289       0.0003       0.0205       0.0004       0.0002  4.0814
  290       0.0003       0.0199       0.0004       0.0002  4.0549
  291       0.0003       0.0206       0.0004       0.0002  3.9118
  292       0.0003       0.0210       0.0004       0.0002  3.9792
  293       0.0003       0.0204       0.0004       0.0002  4.0987
  294       0.0003       0.0204       0.0004       0.0002  4.0198
  295       0.0003       0.0203       0.0003       0.0002  4.0242
  296       0.0003       0.0203       0.0003       0.0002  3.8189
  297       0.0003       0.0206       0.0003       0.0002  4.0786
  298       0.0003       0.0208       0.0003       0.0002  4.0332
  299       0.0003       0.0211       0.0003       0.0002  4.0040
  300       0.0003       0.0207       0.0003       0.0002  4.0693
...Training Complete!

