Wed Mar 18 20:35:51 2020
--------------------------------------------------
Filename: COCu_ml_mdseed_f100_2_100_iter_1
Dataset size: 200
Target scaling: [0, 0]
Symmetry function parameters:
     G2_etas: [0.05       0.23207944 1.07721735 5.        ]
     G2_rs_s: [0, 0, 0, 0]
     G4_etas: [0.005]
     G4_zetas: [1.0, 4.0]
     G4_gammas: [1.0, -1]
     cutoff: 5.876798323827276
Device: cpu
Model: FullNN(
  (elementwise_models): ModuleDict(
    (Cu): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=36, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
    (O): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=36, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
    (C): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=36, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
  )
)
Architecture:
   Input Layer - 36
   # of Hidden Layers - 3
   Nodes/Layer - 30
Loss Function: <class 'amptorch.model.CustomLoss'>
Force coefficient: 0.04
Optimizer: <class 'torch.optim.lbfgs.LBFGS'>
Learning Rate: 0.1
Batch Size: 200
Epochs: 300
Shuffle: False
Train Split (k-fold if int, fraction if float): 5

Training initiated...
Epoch   EnergyRMSE    ForceRMSE    TrainLoss    ValidLoss     Dur
===== ============ ============ ============ ============ =======
    1       7.6067       0.2957  111438.3047    1157.2930  7.9944
    2       0.4566       1.0533   76188.9219       5.0571  8.3031
    3       0.3217       0.5325   73058.3359       2.2965  8.0382
    4       0.3313       0.6284   72412.3047       2.5107  8.1728
    5       0.2275       2.8369   71992.5078       7.4735  8.0636
    6       0.3555       3.0137   71689.3906       9.7931  8.0328
    7       0.0944       1.7177   71454.9922       2.5383  7.9460
    8       0.5655       0.9134   70718.4062       7.0641  8.3307
    9       0.4530       1.5165   69600.8516       5.9436  7.9395
   10       0.4233       1.7868   68169.3672       6.1382  8.1143
   11       0.1878       1.7582   66998.3594       3.1789  8.1770
   12       0.6335       1.0718   65821.3516       8.9455  7.9568
   13       0.2487       0.3924   64971.1016       1.3605  7.9869
   14       0.6172       1.1256   64472.3477       8.6313  7.8177
   15       0.1214       0.8496   64157.0977       0.8723  8.2519
   16       0.5231       0.4802   63773.1445       5.6577 11.5036
   17       0.1969       1.5783   63435.3203       2.7685 10.1153
   18       0.5405       2.1643   63249.0312       9.5907  8.3782
   19       0.6343       1.6284   63008.2305      10.1691  8.0527
   20       0.5600       1.4205   62573.2070       7.8865  8.6279
   21       0.2914       0.8991   62433.4805       2.3447  8.8854
   22       0.2145       0.8802   62280.2344       1.5401  9.0137
   23       0.0650       1.2795   62090.8008       1.3942  8.8857
   24       0.1190       1.3909   61945.5312       1.8308  8.8272
   25       0.0766       1.8019   61834.3281       2.7147  9.0816
   26       0.1995       0.8682   61742.0859       1.3992  8.5691
   27       0.1956       0.5762   61511.8125       1.0307  8.9027
   28       0.3426       0.5390   61229.4102       2.5794  8.6339
   29       0.0277       0.6346   61092.9023       0.3375  8.7889
   30       0.0829       0.8844   60900.7734       0.7631  8.9974
   31       0.0250       0.8009   60772.3984       0.5257  8.9612
