Wed Mar 18 11:56:05 2020
--------------------------------------------------
Filename: COCu_ml_noseed_200_5k
Dataset size: 200
Target scaling: [0, 0]
Symmetry function parameters:
     G2_etas: [0.05       0.23207944 1.07721735 5.        ]
     G2_rs_s: [0, 0, 0, 0]
     G4_etas: [0.005]
     G4_zetas: [1.0, 4.0]
     G4_gammas: [1.0, -1]
     cutoff: 5.876798323827276
Device: cpu
Model: FullNN(
  (elementwise_models): ModuleDict(
    (Cu): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=36, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
    (O): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=36, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
    (C): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=36, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
  )
)
Architecture:
   Input Layer - 36
   # of Hidden Layers - 3
   Nodes/Layer - 30
Loss Function: <class 'amptorch.model.CustomLoss'>
Force coefficient: 0.04
Optimizer: <class 'torch.optim.lbfgs.LBFGS'>
Learning Rate: 0.1
Batch Size: 200
Epochs: 300
Shuffle: False
Train Split (k-fold if int, fraction if float): 5

Training initiated...
Epoch   EnergyRMSE    ForceRMSE    TrainLoss    ValidLoss     Dur
===== ============ ============ ============ ============ =======
    1       0.0118       0.4888     886.7935       0.1939  7.9804
    2       0.0051       0.4031       0.7610       0.1305  7.6729
    3       0.0047       0.2517       0.2321       0.0511  7.5768
    4       0.0060       0.2358       0.1425       0.0452  7.6742
    5       0.0047       0.2125       0.1242       0.0366  7.7386
    6       0.0062       0.2079       0.1051       0.0353  7.5980
    7       0.0081       0.1998       0.0946       0.0332  7.7658
    8       0.0063       0.1928       0.0905       0.0305  7.9422
    9       0.0063       0.1877       0.0818       0.0290  7.6437
   10       0.0059       0.1811       0.0728       0.0269  7.7221
   11       0.0072       0.1705       0.0696       0.0243  7.9514
   12       0.0068       0.1625       0.0668       0.0221  7.6199
   13       0.0062       0.1581       0.0645       0.0208  7.6332
   14       0.0056       0.1542       0.0616       0.0196  7.7708
   15       0.0054       0.1511       0.0589       0.0188  7.5788
   16       0.0027       0.1463       0.0559       0.0173  7.9549
   17       0.0026       0.1455       0.0532       0.0171  7.5945
   18       0.0028       0.1394       0.0510       0.0157  8.1873
   19       0.0028       0.1346       0.0496       0.0146  7.9745
   20       0.0031       0.1356       0.0476       0.0149  7.6052
   21       0.0033       0.1343       0.0466       0.0147  7.9413
   22       0.0038       0.1290       0.0462       0.0136  7.7189
   23       0.0035       0.1294       0.0452       0.0136  7.5592
   24       0.0033       0.1302       0.0447       0.0138  7.7925
   25       0.0031       0.1275       0.0441       0.0132  7.9310
   26       0.0028       0.1254       0.0437       0.0127  8.0158
   27       0.0031       0.1284       0.0427       0.0134  7.7050
   28       0.0040       0.1348       0.0419       0.0149  8.4556
   29       0.0035       0.1301       0.0411       0.0138  7.6979
   30       0.0035       0.1310       0.0407       0.0140  7.7172
   31       0.0036       0.1290       0.0401       0.0136  7.7589
   32       0.0039       0.1306       0.0394       0.0140  8.0793
