Filename: COCu_morse_f100_2_LJ
Dataset size: 100
Target scaling: [8.841315589518457, -529.0525895393496]
Symmetry function parameters:
     G2_etas: [0.05       0.09653489 0.18637969 0.35984284 0.69474775 1.3413479
 2.58973734 5.        ]
     G2_rs_s: [0, 0, 0, 0, 0, 0, 0, 0]
     G4_etas: [0.005, 0.01]
     G4_zetas: [1.0, 4.0, 6.0]
     G4_gammas: [1.0, -1]
     cutoff: 5.876798323827276
Device: cpu
Model: FullNN(
  (elementwise_models): ModuleDict(
    (Cu): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=96, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
    (O): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=96, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
    (C): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=96, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
  )
)
Architecture:
   Input Layer - 96
   # of Hidden Layers - 3
   Nodes/Layer - 30
Loss Function: <class 'amptorch.model.CustomLoss'>
Force coefficient: 0.04
Optimizer: <class 'torch.optim.lbfgs.LBFGS'>
Learning Rate: 0.1
Batch Size: 100
Epochs: 300
Shuffle: False
Train Split (k-fold if int, fraction if float): 5

Training initiated...
Epoch   EnergyRMSE    ForceRMSE    TrainLoss    ValidLoss     Dur
===== ============ ============ ============ ============ =======
    1       0.0044       0.2164      45.8603       0.0189  9.1106
    2       0.0026       0.1471       0.2361       0.0087  8.8835
    3       0.0061       0.0983       0.0519       0.0042  9.0125
    4       0.0059       0.0917       0.0231       0.0037  9.4091
    5       0.0039       0.0779       0.0136       0.0026  9.3040
    6       0.0032       0.0616       0.0096       0.0016  9.5926
    7       0.0034       0.0526       0.0070       0.0012  9.1584
    8       0.0027       0.0506       0.0061       0.0011  9.6831
    9       0.0023       0.0539       0.0049       0.0012  9.4439
   10       0.0025       0.0500       0.0047       0.0011  9.1189
   11       0.0028       0.0393       0.0044       0.0007  9.4416
   12       0.0028       0.0372       0.0041       0.0006  9.0264
   13       0.0025       0.0398       0.0040       0.0007  9.3377
   14       0.0026       0.0400       0.0037       0.0007  8.8652
   15       0.0028       0.0335       0.0037       0.0005  9.1942
   16       0.0023       0.0309       0.0034       0.0004  9.4032
   17       0.0028       0.0306       0.0031       0.0005  9.0163
   18       0.0026       0.0314       0.0030       0.0005  9.0916
   19       0.0027       0.0329       0.0029       0.0005  9.2190
   20       0.0029       0.0374       0.0026       0.0006  9.4200
   21       0.0026       0.0413       0.0026       0.0008  8.9687
   22       0.0025       0.0368       0.0024       0.0006  9.2121
   23       0.0028       0.0419       0.0023       0.0008  9.4254
   24       0.0024       0.0387       0.0021       0.0007  9.3309
   25       0.0024       0.0340       0.0020       0.0005  9.7333
   26       0.0024       0.0329       0.0018       0.0005  9.1172
   27       0.0024       0.0324       0.0018       0.0005  9.1674
   28       0.0023       0.0335       0.0017       0.0005  9.4759
   29       0.0022       0.0322       0.0016       0.0005  9.1788
   30       0.0023       0.0309       0.0015       0.0004  9.3789
   31       0.0025       0.0300       0.0014       0.0004  9.2431
   32       0.0022       0.0312       0.0013       0.0004  9.1871
   33       0.0023       0.0289       0.0013       0.0004  9.0511
   34       0.0024       0.0291       0.0012       0.0004  9.3690
   35       0.0023       0.0298       0.0012       0.0004  9.2228
   36       0.0023       0.0309       0.0012       0.0004  9.4697
   37       0.0024       0.0306       0.0011       0.0004  9.5056
   38       0.0024       0.0322       0.0011       0.0005  9.4127
   39       0.0023       0.0317       0.0011       0.0005  9.0683
   40       0.0022       0.0340       0.0010       0.0005  9.0016
   41       0.0025       0.0351       0.0010       0.0006  8.9900
   42       0.0024       0.0366       0.0010       0.0006  9.5684
   43       0.0024       0.0346       0.0010       0.0005  9.4627
   44       0.0023       0.0335       0.0009       0.0005  9.5813
   45       0.0024       0.0331       0.0009       0.0005  9.3985
   46       0.0023       0.0324       0.0009       0.0005  9.5226
   47       0.0024       0.0312       0.0009       0.0004  9.0975
   48       0.0024       0.0298       0.0008       0.0004  9.1021
   49       0.0024       0.0282       0.0008       0.0004  9.4151
   50       0.0023       0.0268       0.0008       0.0003  9.1679
   51       0.0023       0.0256       0.0008       0.0003  9.2061
   52       0.0023       0.0268       0.0007       0.0003  9.4218
   53       0.0022       0.0282       0.0007       0.0004  9.1657
   54       0.0022       0.0278       0.0007       0.0004  8.9666
   55       0.0022       0.0275       0.0007       0.0004  9.2160
   56       0.0022       0.0250       0.0007       0.0003  9.1115
   57       0.0023       0.0225       0.0007       0.0003  9.5210
   58       0.0023       0.0222       0.0006       0.0002  9.1352
   59       0.0022       0.0218       0.0006       0.0002  9.1537
   60       0.0021       0.0249       0.0006       0.0003  9.2123
   61       0.0021       0.0257       0.0006       0.0003  9.6485
   62       0.0022       0.0266       0.0006       0.0003  9.2245
   63       0.0021       0.0264       0.0006       0.0003  9.7058
   64       0.0021       0.0258       0.0006       0.0003  9.1383
   65       0.0021       0.0257       0.0006       0.0003  9.0684
   66       0.0021       0.0254       0.0005       0.0003  9.4157
   67       0.0022       0.0233       0.0005       0.0003  9.6859
   68       0.0021       0.0225       0.0005       0.0002  8.8703
   69       0.0022       0.0206       0.0005       0.0002  9.0995
   70       0.0021       0.0207       0.0005       0.0002  9.1033
   71       0.0021       0.0201       0.0005       0.0002  9.1749
   72       0.0021       0.0206       0.0005       0.0002  9.0589
   73       0.0021       0.0200       0.0005       0.0002  9.1753
   74       0.0021       0.0197       0.0005       0.0002  9.1990
   75       0.0021       0.0203       0.0005       0.0002  9.0171
