Filename: COCu_morse_fix_200_5k_adamW_LJ
Dataset size: 200
Target scaling: [8.841315589518457, -527.7487172369373]
Symmetry function parameters:
     G2_etas: [0.05       0.09653489 0.18637969 0.35984284 0.69474775 1.3413479
 2.58973734 5.        ]
     G2_rs_s: [0, 0, 0, 0, 0, 0, 0, 0]
     G4_etas: [0.005, 0.01]
     G4_zetas: [1.0, 4.0, 6.0]
     G4_gammas: [1.0, -1]
     cutoff: 5.876798323827276
Device: cpu
Model: FullNN(
  (elementwise_models): ModuleDict(
    (Cu): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=96, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
    (O): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=96, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
    (C): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=96, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
  )
)
Architecture:
   Input Layer - 96
   # of Hidden Layers - 3
   Nodes/Layer - 30
Loss Function: <class 'amptorch.model.CustomLoss'>
Force coefficient: 0.04
Optimizer: <class 'torch.optim.adamw.AdamW'>
Learning Rate: 0.001
Batch Size: 25
Epochs: 1000
Shuffle: True
Train Split (k-fold if int, fraction if float): 5

Training initiated...
Epoch   EnergyRMSE    ForceRMSE    TrainLoss    ValidLoss     Dur
===== ============ ============ ============ ============ =======
    1       0.2168       5.0104      13.1082      10.5117  1.9077
    2       0.1242       4.5625      11.3136       8.4806  1.6831
    3       0.0888       3.9185       9.0225       6.2208  1.6955
    4       0.1661       3.2296       6.5177       4.4479  1.6220
    5       0.1303       2.8124       4.6704       3.3336  1.7182
    6       0.1395       2.6774       3.8103       3.0619  1.7832
    7       0.1395       2.6774       3.6107       3.0619  1.8588
    8       0.1522       2.5368       3.4883       2.8058  1.6645
    9       0.1433       2.0429       2.8815       1.8747  1.7518
   10       0.1103       1.1003       1.6253       0.6060  1.6714
   11       0.0571       0.5636       0.5333       0.1597  1.7799
   12       0.1329       0.5611       0.4440       0.3025  1.6703
   13       0.0257       0.4573       0.3881       0.0902  1.7590
   14       0.0636       0.3815       0.1990       0.0986  1.7735
   15       0.0221       0.4769       0.1779       0.0959  1.6769
   16       0.0277       0.4285       0.1723       0.0811  1.7530
   17       0.0277       0.4285       0.1608       0.0811  1.6751
   18       0.0361       0.4094       0.1607       0.0801  1.6574
   19       0.0202       0.4095       0.1552       0.0712  1.7773
   20       0.0232       0.3783       0.1480       0.0626  1.7495
   21       0.0429       0.3521       0.1437       0.0680  1.6934
   22       0.0203       0.3657       0.1371       0.0576  1.6647
   23       0.0188       0.3466       0.1217       0.0516  1.7031
   24       0.0300       0.3600       0.1150       0.0609  1.7245
   25       0.0338       0.3203       0.1153       0.0525  1.7173
   26       0.0172       0.3317       0.1097       0.0470  1.6382
   27       0.0172       0.3317       0.1075       0.0470  1.7079
   28       0.0172       0.3299       0.1075       0.0465  1.6717
   29       0.0177       0.3289       0.1070       0.0464  1.6537
   30       0.0185       0.3128       0.1038       0.0426  1.7477
   31       0.0163       0.3061       0.0999       0.0401  1.6651
   32       0.0197       0.3044       0.0942       0.0410  1.7284
   33       0.0166       0.2905       0.0884       0.0365  1.7187
   34       0.0299       0.2919       0.0829       0.0430  1.7303
