Filename: COCu_morse_fix_200_5k_adamW_LJ_100_iter_2
Dataset size: 400
Target scaling: [8.841315589518457, -527.7487172369373]
Symmetry function parameters:
     G2_etas: [0.05       0.09653489 0.18637969 0.35984284 0.69474775 1.3413479
 2.58973734 5.        ]
     G2_rs_s: [0, 0, 0, 0, 0, 0, 0, 0]
     G4_etas: [0.005, 0.01]
     G4_zetas: [1.0, 4.0, 6.0]
     G4_gammas: [1.0, -1]
     cutoff: 5.876798323827276
Device: cpu
Model: FullNN(
  (elementwise_models): ModuleDict(
    (Cu): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=96, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
    (O): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=96, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
    (C): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=96, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
  )
)
Architecture:
   Input Layer - 96
   # of Hidden Layers - 3
   Nodes/Layer - 30
Loss Function: <class 'amptorch.model.CustomLoss'>
Force coefficient: 0.04
Optimizer: <class 'torch.optim.adamw.AdamW'>
Learning Rate: 0.001
Batch Size: 50
Epochs: 1000
Shuffle: True
Train Split (k-fold if int, fraction if float): 5

Training initiated...
Epoch   EnergyRMSE    ForceRMSE    TrainLoss    ValidLoss     Dur
===== ============ ============ ============ ============ =======
    1       0.2231       4.9644      25.8446      20.7118  3.2300
    2       0.0961       4.3761      21.5812      15.5048  3.1773
    3       0.1561       3.6154      16.4297      10.9443  3.1243
    4       0.1791       2.8672      11.2142       7.2180  3.1391
    5       0.1743       2.4111       7.6670       5.2581  3.3160
    6       0.1841       2.2709       6.1097       4.8033  3.1786
    7       0.1841       2.2709       5.7614       4.8033  3.3357
    8       0.1810       2.1406       5.5520       4.3210  3.2441
    9       0.1708       1.6591       4.5300       2.7853  3.1664
   10       0.1308       0.8443       2.5607       0.9122  3.1915
   11       0.0980       0.6655       1.0992       0.5463  3.1704
   12       0.0772       0.7282       0.8671       0.5436  3.3096
   13       0.0537       0.4119       0.5538       0.1934  3.1745
   14       0.0432       0.3602       0.3395       0.1411  3.2773
   15       0.0234       0.3767       0.3140       0.1245  3.0405
   16       0.0330       0.3566       0.2962       0.1235  3.2158
   17       0.0330       0.3566       0.2886       0.1235  3.1270
   18       0.0282       0.3519       0.2844       0.1149  3.2049
   19       0.0310       0.3280       0.2657       0.1052  3.4713
   20       0.0350       0.3222       0.2414       0.1076  3.2425
   21       0.0328       0.3066       0.2280       0.0967  3.2197
   22       0.0332       0.2850       0.2038       0.0871  3.2824
   23       0.0276       0.2736       0.1841       0.0752  3.3460
   24       0.0246       0.2656       0.1708       0.0685  3.1721
   25       0.0263       0.2614       0.1627       0.0685  3.1109
   26       0.0256       0.2607       0.1593       0.0675  3.2415
   27       0.0256       0.2607       0.1585       0.0675  3.2773
   28       0.0261       0.2595       0.1581       0.0675  3.0345
   29       0.0278       0.2550       0.1558       0.0675  3.1977
   30       0.0264       0.2485       0.1509       0.0634  3.2087
   31       0.0233       0.2406       0.1425       0.0571  3.1628
   32       0.0219       0.2318       0.1325       0.0525  3.1737
   33       0.0230       0.2236       0.1235       0.0506  3.1987
   34       0.0217       0.2196       0.1167       0.0480  3.2465
