Filename: COCu_morse_fix_geo_arith_rule_f100_LJ
Dataset size: 100
Target scaling: [8.841315589518457, -527.7771209152326]
Symmetry function parameters:
     G2_etas: [0.05       0.09653489 0.18637969 0.35984284 0.69474775 1.3413479
 2.58973734 5.        ]
     G2_rs_s: [0, 0, 0, 0, 0, 0, 0, 0]
     G4_etas: [0.005, 0.01]
     G4_zetas: [1.0, 4.0, 6.0]
     G4_gammas: [1.0, -1]
     cutoff: 5.876798323827276
Device: cpu
Model: FullNN(
  (elementwise_models): ModuleDict(
    (Cu): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=96, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
    (O): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=96, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
    (C): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=96, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
  )
)
Architecture:
   Input Layer - 96
   # of Hidden Layers - 3
   Nodes/Layer - 30
Loss Function: <class 'amptorch.model.CustomLoss'>
Force coefficient: 0.04
Optimizer: <class 'torch.optim.lbfgs.LBFGS'>
Learning Rate: 0.1
Batch Size: 100
Epochs: 300
Shuffle: False
Train Split (k-fold if int, fraction if float): 5

Training initiated...
Epoch   EnergyRMSE    ForceRMSE    TrainLoss    ValidLoss     Dur
===== ============ ============ ============ ============ =======
    1       0.0061       0.4636      47.9474       0.0863  9.1346
    2       0.0032       0.2163       0.6411       0.0188  9.7400
    3       0.0039       0.1328       0.0646       0.0072  9.8565
    4       0.0042       0.1121       0.0262       0.0052  9.2071
    5       0.0023       0.1118       0.0157       0.0051  9.5149
    6       0.0011       0.0853       0.0113       0.0029  9.4696
    7       0.0013       0.0794       0.0085       0.0025  9.5239
    8       0.0015       0.0588       0.0078       0.0014 10.0507
    9       0.0012       0.0618       0.0063       0.0015  9.7050
   10       0.0010       0.0642       0.0051       0.0017  9.6167
   11       0.0011       0.0608       0.0048       0.0015  9.4005
   12       0.0012       0.0488       0.0045       0.0010  9.3080
   13       0.0015       0.0404       0.0042       0.0007  9.4308
   14       0.0016       0.0383       0.0041       0.0006  9.4697
   15       0.0011       0.0381       0.0038       0.0006  9.5521
   16       0.0013       0.0335       0.0036       0.0005  9.3847
   17       0.0011       0.0382       0.0033       0.0006  9.6774
   18       0.0013       0.0382       0.0032       0.0006  9.7152
   19       0.0013       0.0407       0.0030       0.0007  9.7357
   20       0.0010       0.0354       0.0028       0.0005  9.9801
   21       0.0011       0.0356       0.0025       0.0005  9.6204
   22       0.0012       0.0341       0.0025       0.0005  9.4809
   23       0.0009       0.0355       0.0024       0.0005  9.9630
   24       0.0013       0.0316       0.0023       0.0004  9.4760
   25       0.0011       0.0335       0.0022       0.0005 10.0250
   26       0.0010       0.0359       0.0021       0.0005  9.5020
   27       0.0011       0.0321       0.0020       0.0004  9.6547
   28       0.0011       0.0339       0.0019       0.0005  9.9195
   29       0.0010       0.0383       0.0019       0.0006  9.8298
   30       0.0012       0.0373       0.0018       0.0006  9.9217
   31       0.0011       0.0349       0.0018       0.0005  9.5133
   32       0.0007       0.0349       0.0016       0.0005  9.9147
   33       0.0010       0.0325       0.0016       0.0004  9.2812
   34       0.0008       0.0334       0.0014       0.0005  9.5995
