Wed Mar 18 20:09:39 2020
--------------------------------------------------
Model parameters [re, D, sig]: {'C': [0.972, 6.379, 0.477], 'O': [1.09, 8.575, 0.603], 'Cu': [2.168, 3.8386, 1.696]}
Combination rule: mean

Filename: COCu_morse_mdseed_f100_2_LJ
Dataset size: 100
Target scaling: [8.841315589518457, -527.7771209152326]
Symmetry function parameters:
     G2_etas: [0.05       0.23207944 1.07721735 5.        ]
     G2_rs_s: [0, 0, 0, 0]
     G4_etas: [0.005]
     G4_zetas: [1.0, 4.0]
     G4_gammas: [1.0, -1]
     cutoff: 5.876798323827276
Device: cpu
Model: FullNN(
  (elementwise_models): ModuleDict(
    (Cu): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=36, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
    (O): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=36, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
    (C): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=36, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
  )
)
Architecture:
   Input Layer - 36
   # of Hidden Layers - 3
   Nodes/Layer - 30
Loss Function: <class 'amptorch.model.CustomLoss'>
Force coefficient: 0.04
Optimizer: <class 'torch.optim.lbfgs.LBFGS'>
Learning Rate: 0.1
Batch Size: 100
Epochs: 300
Shuffle: False
Train Split (k-fold if int, fraction if float): 5

Training initiated...
Epoch   EnergyRMSE    ForceRMSE    TrainLoss    ValidLoss     Dur
===== ============ ============ ============ ============ =======
    1       0.0169       0.2642      44.9037       0.0308  4.1828
    2       0.0033       0.2093       0.3293       0.0176  3.7721
    3       0.0011       0.1031       0.0670       0.0043  4.0073
    4       0.0055       0.0868       0.0256       0.0033  3.9008
    5       0.0021       0.0875       0.0200       0.0031  3.8739
    6       0.0023       0.0339       0.0168       0.0005  4.0514
    7       0.0024       0.0363       0.0089       0.0006  3.7900
    8       0.0010       0.0342       0.0069       0.0005  3.9248
    9       0.0014       0.0382       0.0063       0.0006  3.9752
   10       0.0008       0.0405       0.0059       0.0007  3.9176
   11       0.0010       0.0305       0.0054       0.0004  3.7404
   12       0.0008       0.0355       0.0050       0.0005  4.0053
   13       0.0009       0.0380       0.0046       0.0006  4.0139
   14       0.0007       0.0423       0.0044       0.0007  3.9117
   15       0.0007       0.0328       0.0042       0.0004  3.4156
   16       0.0007       0.0319       0.0038       0.0004  3.7443
   17       0.0007       0.0317       0.0037       0.0004  3.7155
   18       0.0007       0.0286       0.0036       0.0003  3.7715
   19       0.0007       0.0297       0.0035       0.0004  3.3779
   20       0.0009       0.0271       0.0032       0.0003  3.9292
   21       0.0010       0.0275       0.0028       0.0003  4.0617
   22       0.0009       0.0296       0.0028       0.0004  3.8091
   23       0.0009       0.0298       0.0027       0.0004  3.8601
   24       0.0007       0.0251       0.0026       0.0003  3.7394
   25       0.0008       0.0266       0.0024       0.0003  3.7827
   26       0.0010       0.0279       0.0023       0.0003  3.7417
   27       0.0009       0.0267       0.0022       0.0003  3.8257
   28       0.0007       0.0250       0.0021       0.0003  4.0694
   29       0.0007       0.0253       0.0021       0.0003  3.8406
   30       0.0007       0.0270       0.0020       0.0003  4.0589
   31       0.0006       0.0290       0.0020       0.0003  3.7463
   32       0.0006       0.0258       0.0019       0.0003  3.8740
   33       0.0007       0.0259       0.0018       0.0003  4.0126
   34       0.0006       0.0241       0.0018       0.0002  3.8139
   35       0.0006       0.0245       0.0016       0.0002  3.9447
   36       0.0006       0.0229       0.0016       0.0002  3.8066
