Tue Mar 17 20:46:03 2020
--------------------------------------------------
Model parameters [re, D, sig]: {'C': [0.972, 6.379, 0.477], 'O': [1.09, 8.575, 0.603], 'Cu': [2.168, 3.8386, 1.696]}
Combination rule: yang

Filename: COCu_morse_mdseed_yang_f100_LJ
Dataset size: 100
Target scaling: [8.841315589518457, -529.0525895393496]
Symmetry function parameters:
     G2_etas: [0.05       0.23207944 1.07721735 5.        ]
     G2_rs_s: [0, 0, 0, 0]
     G4_etas: [0.005]
     G4_zetas: [1.0, 4.0]
     G4_gammas: [1.0, -1]
     cutoff: 5.876798323827276
Device: cpu
Model: FullNN(
  (elementwise_models): ModuleDict(
    (Cu): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=36, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
    (O): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=36, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
    (C): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=36, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
  )
)
Architecture:
   Input Layer - 36
   # of Hidden Layers - 3
   Nodes/Layer - 30
Loss Function: <class 'amptorch.model.CustomLoss'>
Force coefficient: 0.04
Optimizer: <class 'torch.optim.lbfgs.LBFGS'>
Learning Rate: 0.1
Batch Size: 100
Epochs: 300
Shuffle: False
Train Split (k-fold if int, fraction if float): 5

Training initiated...
Epoch   EnergyRMSE    ForceRMSE    TrainLoss    ValidLoss     Dur
===== ============ ============ ============ ============ =======
    1       0.0066       0.2757      44.8372       0.0308  5.1729
    2       0.0059       0.1560       0.1723       0.0101  5.0935
    3       0.0008       0.0895       0.0447       0.0032  5.3732
    4       0.0023       0.0738       0.0255       0.0022  5.2509
    5       0.0013       0.0616       0.0194       0.0015  5.0464
    6       0.0023       0.0400       0.0112       0.0007  4.8510
    7       0.0012       0.0348       0.0061       0.0005  5.0245
    8       0.0011       0.0386       0.0057       0.0006  5.5492
    9       0.0012       0.0304       0.0050       0.0004  5.5789
   10       0.0012       0.0343       0.0045       0.0005  5.4330
   11       0.0012       0.0333       0.0042       0.0005  5.3393
   12       0.0013       0.0334       0.0037       0.0005  5.3165
   13       0.0012       0.0284       0.0036       0.0003  5.2320
   14       0.0012       0.0263       0.0035       0.0003  5.5422
   15       0.0012       0.0257       0.0033       0.0003  5.4841
   16       0.0011       0.0248       0.0031       0.0003  5.0007
   17       0.0015       0.0248       0.0030       0.0003  5.4015
   18       0.0012       0.0241       0.0027       0.0002  5.2945
   19       0.0013       0.0247       0.0026       0.0003  5.4365
   20       0.0012       0.0233       0.0025       0.0002  5.2018
   21       0.0013       0.0254       0.0023       0.0003  5.3803
   22       0.0012       0.0241       0.0021       0.0002  5.3695
   23       0.0012       0.0246       0.0020       0.0003  5.2768
   24       0.0010       0.0266       0.0020       0.0003  5.5765
   25       0.0011       0.0261       0.0018       0.0003  5.6060
   26       0.0012       0.0276       0.0017       0.0003  4.9835
   27       0.0011       0.0291       0.0016       0.0004  5.2925
   28       0.0011       0.0305       0.0015       0.0004  5.4634
   29       0.0012       0.0277       0.0015       0.0003  5.6698
   30       0.0011       0.0283       0.0014       0.0003  5.4516
   31       0.0011       0.0258       0.0014       0.0003  5.3915
   32       0.0011       0.0249       0.0013       0.0003  5.2559
   33       0.0011       0.0259       0.0013       0.0003  5.0401
   34       0.0011       0.0252       0.0012       0.0003  5.5052
   35       0.0011       0.0262       0.0012       0.0003  4.9703
   36       0.0010       0.0267       0.0012       0.0003  5.2507
