Tue Mar 17 20:30:43 2020
--------------------------------------------------
Model parameters [re, D, sig]: {'C': [0.972, 6.379, 0.477], 'O': [1.09, 8.575, 0.603], 'Cu': [2.168, 3.8386, 1.696]}
Combination rule: mean

Filename: COCu_morse_mean_mdseed_f100_LJ
Dataset size: 100
Target scaling: [8.841315589518457, -527.7771209152326]
Symmetry function parameters:
     G2_etas: [0.05       0.23207944 1.07721735 5.        ]
     G2_rs_s: [0, 0, 0, 0]
     G4_etas: [0.005]
     G4_zetas: [1.0, 4.0]
     G4_gammas: [1.0, -1]
     cutoff: 5.876798323827276
Device: cpu
Model: FullNN(
  (elementwise_models): ModuleDict(
    (Cu): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=36, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
    (O): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=36, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
    (C): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=36, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
  )
)
Architecture:
   Input Layer - 36
   # of Hidden Layers - 3
   Nodes/Layer - 30
Loss Function: <class 'amptorch.model.CustomLoss'>
Force coefficient: 0.04
Optimizer: <class 'torch.optim.lbfgs.LBFGS'>
Learning Rate: 0.1
Batch Size: 100
Epochs: 300
Shuffle: False
Train Split (k-fold if int, fraction if float): 5

Training initiated...
Epoch   EnergyRMSE    ForceRMSE    TrainLoss    ValidLoss     Dur
===== ============ ============ ============ ============ =======
    1       0.0083       0.2014      45.2344       0.0169  3.5465
    2       0.0008       0.1190       0.1364       0.0057  3.5254
    3       0.0027       0.0921       0.0406       0.0035  3.4002
    4       0.0009       0.0703       0.0250       0.0020  3.3041
    5       0.0016       0.0774       0.0179       0.0024  3.3903
    6       0.0007       0.0623       0.0146       0.0016  3.5337
    7       0.0009       0.0470       0.0099       0.0009  3.6786
    8       0.0006       0.0426       0.0086       0.0007  3.6088
    9       0.0014       0.0348       0.0067       0.0005  3.6433
   10       0.0008       0.0286       0.0058       0.0003  3.7069
   11       0.0009       0.0251       0.0055       0.0003  3.8314
   12       0.0006       0.0259       0.0050       0.0003  3.9531
   13       0.0008       0.0300       0.0046       0.0004  3.9634
   14       0.0015       0.0280       0.0044       0.0003  3.6764
   15       0.0011       0.0323       0.0043       0.0004  3.9507
   16       0.0009       0.0316       0.0037       0.0004  3.8397
   17       0.0007       0.0318       0.0037       0.0004  3.6938
   18       0.0006       0.0283       0.0035       0.0003  3.6722
   19       0.0008       0.0310       0.0033       0.0004  3.8294
   20       0.0010       0.0275       0.0032       0.0003  3.9192
   21       0.0007       0.0252       0.0030       0.0003  3.7766
   22       0.0009       0.0240       0.0028       0.0002  3.9138
   23       0.0007       0.0235       0.0028       0.0002  3.6563
   24       0.0007       0.0252       0.0027       0.0003  3.7135
   25       0.0008       0.0226       0.0026       0.0002  3.8334
   26       0.0007       0.0222       0.0023       0.0002  3.9829
   27       0.0007       0.0218       0.0023       0.0002  3.7786
   28       0.0008       0.0225       0.0023       0.0002  3.7238
   29       0.0007       0.0231       0.0021       0.0002  3.7276
   30       0.0006       0.0248       0.0020       0.0003  3.7643
   31       0.0007       0.0230       0.0019       0.0002  3.8498
   32       0.0006       0.0238       0.0018       0.0002  3.8961
   33       0.0005       0.0238       0.0017       0.0002  3.8862
   34       0.0005       0.0246       0.0016       0.0002  3.6849
   35       0.0005       0.0235       0.0016       0.0002  3.8450
   36       0.0005       0.0211       0.0015       0.0002  3.7337
   37       0.0006       0.0213       0.0015       0.0002  3.7301
   38       0.0005       0.0205       0.0014       0.0002  3.9312
   39       0.0005       0.0205       0.0014       0.0002  3.9537
   40       0.0006       0.0196       0.0013       0.0002  3.7469
   41       0.0006       0.0189       0.0012       0.0001  3.8255
   42       0.0005       0.0177       0.0012       0.0001  3.9100
   43       0.0006       0.0162       0.0012       0.0001  3.9306
   44       0.0005       0.0172       0.0011       0.0001  4.0480
   45       0.0006       0.0176       0.0011       0.0001  3.8440
   46       0.0006       0.0177       0.0011       0.0001  3.7270
   47       0.0006       0.0180       0.0011       0.0001  3.7756
   48       0.0006       0.0190       0.0011       0.0001  3.9005
   49       0.0006       0.0190       0.0010       0.0001  3.8909
   50       0.0005       0.0191       0.0010       0.0001  4.0647
   51       0.0006       0.0196       0.0010       0.0002  3.9200
   52       0.0006       0.0198       0.0009       0.0002  3.8491
   53       0.0006       0.0191       0.0009       0.0001  3.7741
   54       0.0006       0.0189       0.0009       0.0001  3.8574
   55       0.0005       0.0180       0.0009       0.0001  3.8312
   56       0.0005       0.0173       0.0009       0.0001  3.9388
   57       0.0005       0.0168       0.0009       0.0001  3.6971
   58       0.0005       0.0173       0.0009       0.0001  3.8588
   59       0.0005       0.0172       0.0009       0.0001  3.6617
   60       0.0005       0.0171       0.0009       0.0001  3.9632
   61       0.0005       0.0171       0.0009       0.0001  3.8425
   62       0.0005       0.0177       0.0009       0.0001  3.8157
   63       0.0005       0.0175       0.0009       0.0001  3.8011
   64       0.0005       0.0181       0.0009       0.0001  3.6427
   65       0.0005       0.0174       0.0009       0.0001  3.7637
   66       0.0005       0.0166       0.0008       0.0001  3.7509
   67       0.0005       0.0169       0.0008       0.0001  3.8421
   68       0.0005       0.0168       0.0008       0.0001  3.7213
   69       0.0005       0.0170       0.0008       0.0001  3.8112
   70       0.0005       0.0168       0.0008       0.0001  3.8342
   71       0.0005       0.0170       0.0008       0.0001  3.8149
   72       0.0005       0.0168       0.0008       0.0001  3.9676
   73       0.0005       0.0164       0.0008       0.0001  4.0716
   74       0.0005       0.0165       0.0008       0.0001  3.8192
   75       0.0005       0.0161       0.0008       0.0001  3.8944
   76       0.0005       0.0158       0.0008       0.0001  3.7462
   77       0.0005       0.0152       0.0008       0.0001  3.9901
   78       0.0005       0.0150       0.0008       0.0001  3.9456
   79       0.0005       0.0150       0.0008       0.0001  3.8687
   80       0.0005       0.0147       0.0008       0.0001  3.9454
   81       0.0005       0.0147       0.0008       0.0001  3.7445
   82       0.0005       0.0153       0.0008       0.0001  3.8499
   83       0.0005       0.0155       0.0008       0.0001  3.8698
   84       0.0005       0.0165       0.0008       0.0001  3.7565
   85       0.0005       0.0176       0.0007       0.0001  3.7842
   86       0.0005       0.0173       0.0007       0.0001  4.1469
   87       0.0005       0.0167       0.0007       0.0001  3.9045
   88       0.0005       0.0170       0.0007       0.0001  3.8634
   89       0.0005       0.0174       0.0007       0.0001  3.8449
   90       0.0005       0.0176       0.0007       0.0001  3.9972
   91       0.0005       0.0171       0.0007       0.0001  3.7444
   92       0.0005       0.0171       0.0007       0.0001  4.1545
   93       0.0004       0.0185       0.0007       0.0001  4.0439
   94       0.0005       0.0185       0.0007       0.0001  3.9017
   95       0.0004       0.0179       0.0007       0.0001  3.8833
   96       0.0004       0.0180       0.0007       0.0001  3.7347
   97       0.0005       0.0179       0.0007       0.0001  3.8276
   98       0.0005       0.0176       0.0007       0.0001  3.6694
   99       0.0005       0.0177       0.0007       0.0001  3.9782
  100       0.0004       0.0170       0.0007       0.0001  3.8417
  101       0.0004       0.0168       0.0007       0.0001  3.6819
  102       0.0005       0.0162       0.0007       0.0001  3.7555
  103       0.0005       0.0160       0.0007       0.0001  3.9220
  104       0.0005       0.0160       0.0006       0.0001  3.8106
  105       0.0005       0.0163       0.0006       0.0001  4.0462
  106       0.0005       0.0163       0.0006       0.0001  3.7310
  107       0.0005       0.0168       0.0006       0.0001  3.9993
  108       0.0005       0.0170       0.0006       0.0001  3.7601
