Fri Mar 13 01:20:28 2020
--------------------------------------------------
LJ-Parameter Optimization
inital LJ parameter guess [sig, eps]: {'C': [0.972, 6.379, 0.477], 'O': [1.09, 8.575, 0.603], 'Cu': [2.168, 3.8386, 1.696]}
Optimizer results: 
 fun: 10.809068648534671 
 message: Linear search failed 
 nfev: 92 
 nit: 5 
 success: False
Fitted LJ parameters: {'C': array([1.23691023, 3.00776889, 1.        ]), 'O': array([1.43054569, 7.78298302, 1.        ]), 'Cu': array([1.53639021e+00, 1.00000000e-05, 1.38331805e+00])} 

Optimization time: 1180.6279392242432 

Filename: COCu_morse_new_200_5k_LJ_100_iter_1
Dataset size: 300
Target scaling: [8.841315589518457, -3.4844788112662135]
Symmetry function parameters:
     G2_etas: [0.05       0.09653489 0.18637969 0.35984284 0.69474775 1.3413479
 2.58973734 5.        ]
     G2_rs_s: [0, 0, 0, 0, 0, 0, 0, 0]
     G4_etas: [0.005, 0.01]
     G4_zetas: [1.0, 4.0, 6.0]
     G4_gammas: [1.0, -1]
     cutoff: 5.876798323827276
Device: cpu
Model: FullNN(
  (elementwise_models): ModuleDict(
    (Cu): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=96, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
    (O): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=96, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
    (C): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=96, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
  )
)
Architecture:
   Input Layer - 96
   # of Hidden Layers - 3
   Nodes/Layer - 30
Loss Function: <class 'amptorch.model.CustomLoss'>
Force coefficient: 0.04
Optimizer: <class 'torch.optim.lbfgs.LBFGS'>
Learning Rate: 0.1
Batch Size: 300
Epochs: 200
Shuffle: False
Train Split (k-fold if int, fraction if float): 5

Training initiated...
Epoch   EnergyRMSE    ForceRMSE    TrainLoss    ValidLoss     Dur
===== ============ ============ ============ ============ =======
    1       0.1671       3.0163      47.9778      11.7555 26.8860
    2       0.1019       2.0580      32.5930       5.3939 27.9493
    3       0.0368       1.7296       9.6988       3.6305 26.8918
    4       0.0422       1.2316       4.6351       1.8737 27.8140
    5       0.0657       0.9253       2.5916       1.1570 27.7936
    6       0.0252       0.5876       1.6241       0.4334 26.6231
    7       0.0097       0.5324       0.8493       0.3430 27.7653
    8       0.0069       0.3688       0.5946       0.1647 27.8680
    9       0.0067       0.3499       0.4049       0.1483 26.8916
   10       0.0062       0.3319       0.3014       0.1333 26.9338
   11       0.0052       0.2997       0.2548       0.1086 27.7554
   12       0.0061       0.2920       0.2225       0.1034 27.8656
   13       0.0063       0.2457       0.1946       0.0736 26.8284
   14       0.0046       0.2167       0.1794       0.0570 26.7999
   15       0.0032       0.2161       0.1648       0.0564 26.8726
   16       0.0028       0.1969       0.1478       0.0468 27.8201
   17       0.0025       0.1749       0.1297       0.0369 26.9168
   18       0.0030       0.1744       0.1085       0.0368 27.7913
   19       0.0028       0.1527       0.0957       0.0282 26.8478
   20       0.0020       0.1436       0.0858       0.0249 27.9642
   21       0.0023       0.1344       0.0791       0.0218 27.8896
   22       0.0023       0.1285       0.0717       0.0200 28.0001
   23       0.0025       0.1255       0.0676       0.0191 26.7447
   24       0.0019       0.1181       0.0632       0.0169 26.7769
   25       0.0018       0.1184       0.0603       0.0169 27.7112
   26       0.0020       0.1198       0.0566       0.0173 26.8366
   27       0.0017       0.1152       0.0546       0.0160 27.7381
   28       0.0018       0.1081       0.0531       0.0141 26.8132
   29       0.0016       0.1031       0.0502       0.0128 27.1308
   30       0.0018       0.1025       0.0486       0.0127 26.7300
   31       0.0018       0.0985       0.0468       0.0117 26.7847
   32       0.0018       0.0968       0.0449       0.0113 27.8985
   33       0.0018       0.0928       0.0435       0.0104 27.0409
   34       0.0015       0.0888       0.0421       0.0095 27.1374
   35       0.0015       0.0842       0.0411       0.0086 26.9724
   36       0.0012       0.0811       0.0400       0.0079 27.9034
   37       0.0012       0.0783       0.0389       0.0074 26.7615
   38       0.0011       0.0849       0.0381       0.0087 26.7987
   39       0.0010       0.0844       0.0371       0.0086 26.8635
   40       0.0012       0.0845       0.0367       0.0086 26.8073
   41       0.0008       0.0845       0.0356       0.0086 26.7489
   42       0.0008       0.0843       0.0347       0.0085 26.8518
   43       0.0009       0.0873       0.0338       0.0092 26.8450
   44       0.0009       0.0851       0.0329       0.0087 26.6751
   45       0.0011       0.0894       0.0324       0.0096 28.0251
   46       0.0009       0.0894       0.0317       0.0096 26.9130
   47       0.0008       0.0879       0.0312       0.0093 27.2205
   48       0.0009       0.0893       0.0303       0.0096 27.0063
   49       0.0009       0.0906       0.0296       0.0099 28.0314
   50       0.0010       0.0882       0.0290       0.0094 27.1118
   51       0.0009       0.0850       0.0286       0.0087 26.9188
   52       0.0008       0.0802       0.0282       0.0077 27.0472
   53       0.0010       0.0834       0.0277       0.0084 27.0978
   54       0.0007       0.0763       0.0273       0.0070 27.0490
   55       0.0007       0.0744       0.0268       0.0067 27.0005
   56       0.0010       0.0695       0.0265       0.0058 26.8439
   57       0.0007       0.0703       0.0259       0.0059 26.8531
   58       0.0007       0.0682       0.0255       0.0056 27.8182
   59       0.0007       0.0671       0.0252       0.0054 26.7636
   60       0.0007       0.0642       0.0246       0.0050 26.7140
   61       0.0007       0.0619       0.0243       0.0046 26.8299
   62       0.0008       0.0601       0.0241       0.0043 26.9047
   63       0.0007       0.0607       0.0236       0.0044 27.9024
   64       0.0008       0.0593       0.0233       0.0042 27.8832
   65       0.0007       0.0600       0.0230       0.0043 27.8586
