Fri Mar 13 16:06:26 2020
--------------------------------------------------
LJ-Parameter Optimization
inital LJ parameter guess [sig, eps]: {'C': [0.972, 6.379, 0.477], 'O': [1.09, 8.575, 0.603], 'Cu': [2.168, 3.8386, 1.696]}
Optimizer results: 
 fun: 118.03195536977726 
 message: Max. number of function evaluations reached 
 nfev: 100 
 nit: 23 
 success: False
Fitted LJ parameters: {'C': array([1.43427568, 6.33889503, 1.04296759]), 'O': array([1.31796914, 8.55892453, 1.        ]), 'Cu': array([2.20656393, 3.78066084, 1.13683221])} 

Optimization time: 3132.0437903404236 

Filename: COCu_morse_new_200_5k_LJ_100_iter_5
Dataset size: 700
Target scaling: [8.841315589518457, -1138.2796419305348]
Symmetry function parameters:
     G2_etas: [0.05       0.09653489 0.18637969 0.35984284 0.69474775 1.3413479
 2.58973734 5.        ]
     G2_rs_s: [0, 0, 0, 0, 0, 0, 0, 0]
     G4_etas: [0.005, 0.01]
     G4_zetas: [1.0, 4.0, 6.0]
     G4_gammas: [1.0, -1]
     cutoff: 5.876798323827276
Device: cpu
Model: FullNN(
  (elementwise_models): ModuleDict(
    (Cu): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=96, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
    (O): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=96, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
    (C): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=96, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
  )
)
Architecture:
   Input Layer - 96
   # of Hidden Layers - 3
   Nodes/Layer - 30
Loss Function: <class 'amptorch.model.CustomLoss'>
Force coefficient: 0.04
Optimizer: <class 'torch.optim.lbfgs.LBFGS'>
Learning Rate: 0.1
Batch Size: 700
Epochs: 200
Shuffle: False
Train Split (k-fold if int, fraction if float): 5

Training initiated...
Epoch   EnergyRMSE    ForceRMSE    TrainLoss    ValidLoss     Dur
===== ============ ============ ============ ============ =======
    1       1.7837       8.9893   11527.2910     448.9847 68.3631
    2       0.2748       6.0989    2369.6787     109.4371 68.9250
    3       0.4636       6.0920    1345.7738     118.9590 72.1473
    4       0.4664       5.7547    1151.0360     107.9513 71.4697
    5       0.3031       5.2705    1096.6156      84.2105 82.8263
    6       0.3737       5.3279    1055.4100      89.2613 82.6939
    7       0.3529       5.0416    1033.2554      79.8890 80.8672
    8       0.3625       4.6269    1015.9972      69.1398 82.9062
    9       0.3558       4.5443     994.7026      66.6837 79.4244
   10       0.3702       4.5083     985.6198      66.5040 79.9922
   11       0.4611       4.5698     976.8569      73.3543 80.4646
   12       0.4746       4.5180     966.5042      72.9221 82.1326
   13       0.4118       4.2181     955.4056      61.6874 80.5084
   14       0.3714       4.0670     945.0939      55.9693 80.7192
   15       0.2797       4.0395     931.4811      51.1650 81.9909
   16       0.2412       4.0330     920.8083      49.6140 100.1309
   17       0.2263       3.8899     915.7556      45.9538 79.5679
   18       0.2246       3.9258     910.4112      46.6851 82.2634
   19       0.1940       3.4061     900.2181      35.1196 78.5870
   20       0.1780       3.5699     894.5435      37.9025 79.0171
   21       0.1939       3.7456     883.7167      41.9151 81.6702
   22       0.2100       3.6320     879.9162      40.0233 99.3823
   23       0.1868       3.0811     876.5092      29.0230 94.0647
   24       0.2154       2.7899     870.1484      25.0436 88.5768
   25       0.1911       2.9457     851.7675      26.8529 90.7478
   26       0.1831       2.8725     836.3051      25.4512 90.4037
   27       0.2176       3.1431     820.8948      30.9760 88.3972
   28       0.2008       3.1100     791.9874      29.9042 88.4545
   29       0.1810       3.1894     760.8852      30.7762 91.4863
   30       0.2044       3.0587     739.2443      29.1196 93.5751
   31       0.1713       2.9420     713.1147      26.2895 90.2940
   32       0.1771       2.8688     700.4124      25.2397 89.9438
   33       0.1590       2.7319     687.4855      22.6670 90.1702
   34       0.1759       2.7924     677.7260      23.9978 94.8098
   35       0.1571       2.7758     667.6793      23.3013 91.4827
   36       0.1610       2.8545     658.6424      24.6281 87.1006
   37       0.1767       2.9030     644.7604      25.7821 90.9958
   38       0.1798       3.0081     627.4701      27.6006 92.3763
   39       0.1858       3.0166     607.0538      27.8952 89.9468
   40       0.1758       3.0398     592.4708      28.0349 90.4032
   41       0.1873       2.8353     573.4194      24.9654 77.7908
   42       0.1772       3.0190     554.6513      27.7168 74.1935
   43       0.1552       3.0534     526.1276      27.7915 74.9621
   44       0.1406       2.9194     490.1032      25.2468 92.0482
