Thu Mar 12 23:08:31 2020
--------------------------------------------------
LJ-Parameter Optimization
inital LJ parameter guess [sig, eps]: {'C': [0.972, 6.379], 'O': [1.09, 8.575], 'Cu': [2.168, 3.8386]}
Optimizer results: 
 fun: 0.08081581670103682 
 message: Local minimum reached (|pg| ~= 0) 
 nfev: 16 
 nit: 5 
 success: True
Fitted LJ parameters: {'C': array([1.e+00, 1.e-05]), 'O': array([1.e+00, 1.e-05]), 'Cu': array([1.       , 3.0955202])} 

a: 15.0
Optimization time: 97.43062090873718 

Filename: COCu_rep_new_200_5k_LJ
Dataset size: 200
Target scaling: [8.841315589518457, 7.190565565443904e-07]
Symmetry function parameters:
     G2_etas: [0.05       0.09653489 0.18637969 0.35984284 0.69474775 1.3413479
 2.58973734 5.        ]
     G2_rs_s: [0, 0, 0, 0, 0, 0, 0, 0]
     G4_etas: [0.005, 0.01]
     G4_zetas: [1.0, 4.0, 6.0]
     G4_gammas: [1.0, -1]
     cutoff: 5.876798323827276
Device: cpu
Model: FullNN(
  (elementwise_models): ModuleDict(
    (Cu): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=96, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
    (O): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=96, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
    (C): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=96, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
  )
)
Architecture:
   Input Layer - 96
   # of Hidden Layers - 3
   Nodes/Layer - 30
Loss Function: <class 'amptorch.model.CustomLoss'>
Force coefficient: 0.04
Optimizer: <class 'torch.optim.lbfgs.LBFGS'>
Learning Rate: 0.1
Batch Size: 200
Epochs: 200
Shuffle: False
Train Split (k-fold if int, fraction if float): 5

Training initiated...
Epoch   EnergyRMSE    ForceRMSE    TrainLoss    ValidLoss     Dur
===== ============ ============ ============ ============ =======
    1       0.0025       0.3008       4.7166       0.0725 19.3623
    2       0.0044       0.2979       0.2465       0.0714 18.8118
    3       0.0037       0.2931       0.2357       0.0690 19.5058
    4       0.0064       0.2821       0.2077       0.0645 19.1476
    5       0.0032       0.2705       0.1698       0.0588 19.9613
    6       0.0032       0.2705       0.1486       0.0588 19.9819
    7       0.0034       0.2709       0.1438       0.0589 18.9895
    8       0.0022       0.2662       0.1421       0.0568 19.1665
    9       0.0026       0.2663       0.1365       0.0569 19.9187
   10       0.0046       0.2656       0.1315       0.0569 19.9844
   11       0.0026       0.2643       0.1281       0.0560 20.0576
   12       0.0019       0.2623       0.1262       0.0551 19.1381
   13       0.0022       0.2621       0.1210       0.0551 19.1700
   14       0.0020       0.2616       0.1183       0.0548 19.2031
   15       0.0022       0.2611       0.1168       0.0546 19.7831
   16       0.0027       0.2600       0.1153       0.0542 19.7762
   17       0.0021       0.2590       0.1136       0.0538 19.0297
   18       0.0018       0.2574       0.1126       0.0531 18.5771
   19       0.0016       0.2547       0.1110       0.0520 18.6198
   20       0.0015       0.2537       0.1090       0.0515 18.5321
   21       0.0015       0.2514       0.1078       0.0506 18.5356
   22       0.0017       0.2473       0.1066       0.0490 19.1173
   23       0.0017       0.2452       0.1047       0.0482 18.6357
   24       0.0023       0.2423       0.1037       0.0471 18.6073
   25       0.0019       0.2366       0.1018       0.0449 19.2390
   26       0.0021       0.2319       0.1000       0.0431 19.1944
   27       0.0023       0.2293       0.0975       0.0422 18.4632
   28       0.0021       0.2227       0.0960       0.0398 19.0098
   29       0.0024       0.2192       0.0940       0.0386 18.2644
   30       0.0024       0.2161       0.0921       0.0375 18.6551
   31       0.0018       0.2110       0.0906       0.0357 18.2632
   32       0.0020       0.1958       0.0884       0.0308 18.2408
   33       0.0017       0.1911       0.0829       0.0293 23.6038
   34       0.0025       0.1781       0.0804       0.0255 21.8888
   35       0.0019       0.1563       0.0756       0.0196 19.3663
   36       0.0023       0.1370       0.0683       0.0151 18.7758
   37       0.0040       0.1255       0.0606       0.0129 19.2210
   38       0.0033       0.1203       0.0550       0.0118 18.6932
   39       0.0023       0.1200       0.0475       0.0116 19.0798
   40       0.0021       0.1172       0.0419       0.0111 18.2863
   41       0.0019       0.1098       0.0366       0.0097 19.4233
   42       0.0016       0.1006       0.0341       0.0081 19.4249
   43       0.0016       0.0978       0.0317       0.0077 19.3845
   44       0.0019       0.0954       0.0295       0.0074 19.2569
   45       0.0020       0.0937       0.0275       0.0071 18.6905
   46       0.0018       0.0915       0.0266       0.0068 18.6851
   47       0.0015       0.0902       0.0254       0.0066 19.7381
   48       0.0014       0.0870       0.0244       0.0061 19.2112
   49       0.0012       0.0836       0.0234       0.0056 19.4135
   50       0.0013       0.0786       0.0225       0.0050 18.5440
   51       0.0013       0.0747       0.0216       0.0045 19.7685
   52       0.0013       0.0714       0.0205       0.0041 18.9111
   53       0.0013       0.0718       0.0193       0.0042 20.4357
   54       0.0014       0.0693       0.0187       0.0039 19.0045
   55       0.0011       0.0666       0.0180       0.0036 19.3929
   56       0.0010       0.0655       0.0171       0.0034 19.4856
   57       0.0010       0.0663       0.0166       0.0035 19.7323
   58       0.0011       0.0665       0.0160       0.0036 18.9071
   59       0.0011       0.0705       0.0157       0.0040 20.1010
   60       0.0009       0.0691       0.0153       0.0038 20.5234
   61       0.0009       0.0721       0.0149       0.0042 19.7186
   62       0.0011       0.0717       0.0146       0.0041 19.7705
   63       0.0010       0.0719       0.0142       0.0042 18.7198
   64       0.0010       0.0691       0.0139       0.0038 19.5882
   65       0.0011       0.0687       0.0136       0.0038 20.4218
   66       0.0011       0.0696       0.0133       0.0039 19.9661
   67       0.0010       0.0686       0.0130       0.0038 20.0308
   68       0.0010       0.0691       0.0128       0.0038 20.8553
   69       0.0009       0.0681       0.0126       0.0037 18.9620
   70       0.0009       0.0667       0.0123       0.0036 18.7818
   71       0.0009       0.0667       0.0121       0.0036 18.6839
   72       0.0010       0.0673       0.0120       0.0036 18.6950
   73       0.0010       0.0679       0.0118       0.0037 19.3627
   74       0.0010       0.0681       0.0116       0.0037 19.5017
   75       0.0010       0.0661       0.0113       0.0035 19.5177
   76       0.0010       0.0666       0.0111       0.0036 18.8703
   77       0.0010       0.0665       0.0110       0.0036 20.1524
   78       0.0009       0.0660       0.0107       0.0035 18.7058
   79       0.0009       0.0657       0.0106       0.0035 19.0376
   80       0.0010       0.0654       0.0105       0.0034 19.8656
   81       0.0010       0.0637       0.0102       0.0033 19.5169
   82       0.0009       0.0633       0.0099       0.0032 19.4871
   83       0.0008       0.0618       0.0098       0.0031 18.9507
   84       0.0008       0.0618       0.0097       0.0031 19.1841
   85       0.0008       0.0631       0.0095       0.0032 20.0731
   86       0.0007       0.0626       0.0094       0.0031 19.7520
