Fri Mar 13 00:53:54 2020
--------------------------------------------------
LJ-Parameter Optimization
inital LJ parameter guess [sig, eps]: {'C': [0.972, 6.379], 'O': [1.09, 8.575], 'Cu': [2.168, 3.8386]}
Optimizer results: 
 fun: 0.7027437194727205 
 message: Local minimum reached (|pg| ~= 0) 
 nfev: 23 
 nit: 7 
 success: True
Fitted LJ parameters: {'C': array([1.e+00, 1.e-05]), 'O': array([1.e+00, 1.e-05]), 'Cu': array([1.e+00, 1.e-05])} 

a: 15.0
Optimization time: 208.55216240882874 

Filename: COCu_rep_new_200_5k_LJ_100_iter_1
Dataset size: 300
Target scaling: [8.841315589518457, 6.990871105586963e-07]
Symmetry function parameters:
     G2_etas: [0.05       0.09653489 0.18637969 0.35984284 0.69474775 1.3413479
 2.58973734 5.        ]
     G2_rs_s: [0, 0, 0, 0, 0, 0, 0, 0]
     G4_etas: [0.005, 0.01]
     G4_zetas: [1.0, 4.0, 6.0]
     G4_gammas: [1.0, -1]
     cutoff: 5.876798323827276
Device: cpu
Model: FullNN(
  (elementwise_models): ModuleDict(
    (Cu): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=96, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
    (O): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=96, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
    (C): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=96, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
  )
)
Architecture:
   Input Layer - 96
   # of Hidden Layers - 3
   Nodes/Layer - 30
Loss Function: <class 'amptorch.model.CustomLoss'>
Force coefficient: 0.04
Optimizer: <class 'torch.optim.lbfgs.LBFGS'>
Learning Rate: 0.1
Batch Size: 300
Epochs: 200
Shuffle: False
Train Split (k-fold if int, fraction if float): 5

Training initiated...
Epoch   EnergyRMSE    ForceRMSE    TrainLoss    ValidLoss     Dur
===== ============ ============ ============ ============ =======
    1       0.0252       0.3124       5.7177       0.1362 29.7375
    2       0.0188       0.3226       4.2048       0.1355 31.1284
    3       0.0131       0.3459       3.3662       0.1487 30.7645
    4       0.0075       0.3216       2.9091       0.1258 29.6600
    5       0.0084       0.3069       2.4087       0.1151 29.5905
    6       0.0225       0.3344       1.8611       0.1493 31.1135
    7       0.0120       0.3239       1.4497       0.1302 29.5228
    8       0.0114       0.3278       1.1057       0.1328 29.7120
    9       0.0086       0.3047       0.8771       0.1136 31.0376
   10       0.0051       0.3123       0.7223       0.1178 29.9160
   11       0.0074       0.3009       0.6164       0.1103 29.8706
   12       0.0062       0.3016       0.5262       0.1103 29.5301
   13       0.0064       0.2985       0.4945       0.1082 30.6482
   14       0.0086       0.2957       0.4508       0.1072 30.6702
   15       0.0057       0.2885       0.4270       0.1009 29.7200
   16       0.0041       0.2905       0.3956       0.1017 30.6957
   17       0.0029       0.2777       0.3714       0.0928 30.6283
   18       0.0032       0.2749       0.3367       0.0910 29.5709
   19       0.0045       0.2742       0.3043       0.0908 29.5197
   20       0.0041       0.2715       0.2968       0.0890 30.6886
   21       0.0042       0.2699       0.2798       0.0879 30.7607
   22       0.0044       0.2697       0.2637       0.0879 29.5238
   23       0.0036       0.2676       0.2525       0.0863 29.8080
   24       0.0040       0.2677       0.2421       0.0865 29.7884
   25       0.0038       0.2632       0.2357       0.0835 29.4396
   26       0.0030       0.2618       0.2283       0.0825 30.7248
   27       0.0040       0.2615       0.2204       0.0825 29.6027
   28       0.0043       0.2591       0.2126       0.0811 31.0096
   29       0.0043       0.2589       0.2073       0.0810 30.6262
   30       0.0046       0.2590       0.2044       0.0812 29.6024
   31       0.0046       0.2578       0.2019       0.0804 29.6448
   32       0.0044       0.2562       0.1978       0.0793 29.6344
   33       0.0046       0.2567       0.1950       0.0797 29.5099
   34       0.0043       0.2571       0.1922       0.0798 29.8314
   35       0.0037       0.2560       0.1895       0.0790 29.5253
   36       0.0033       0.2556       0.1857       0.0787 29.8370
   37       0.0038       0.2555       0.1823       0.0788 30.8703
   38       0.0042       0.2549       0.1791       0.0785 30.9646
   39       0.0042       0.2560       0.1761       0.0792 29.5155
   40       0.0037       0.2498       0.1739       0.0753 29.5299
   41       0.0031       0.2489       0.1683       0.0746 30.9183
   42       0.0033       0.2461       0.1645       0.0730 29.8278
   43       0.0030       0.2419       0.1617       0.0705 29.8026
   44       0.0025       0.2381       0.1581       0.0682 30.6285
   45       0.0031       0.2295       0.1547       0.0635 29.7857
   46       0.0026       0.2286       0.1481       0.0629 29.5776
   47       0.0033       0.2240       0.1463       0.0605 29.5300
   48       0.0036       0.2183       0.1425       0.0576 30.9028
   49       0.0032       0.2114       0.1403       0.0539 29.7609
   50       0.0027       0.2036       0.1370       0.0500 33.3932
   51       0.0026       0.1990       0.1346       0.0477 35.8294
   52       0.0027       0.1947       0.1316       0.0457 30.3923
   53       0.0028       0.1911       0.1285       0.0441 31.2970
   54       0.0027       0.1844       0.1270       0.0410 33.2403
   55       0.0030       0.1803       0.1238       0.0393 32.8572
   56       0.0029       0.1775       0.1211       0.0381 32.6373
   57       0.0027       0.1750       0.1195       0.0370 32.9180
   58       0.0025       0.1708       0.1178       0.0352 31.6953
   59       0.0023       0.1660       0.1162       0.0332 31.7975
   60       0.0023       0.1634       0.1146       0.0322 31.4741
   61       0.0018       0.1606       0.1127       0.0311 31.6031
   62       0.0019       0.1580       0.1096       0.0301 31.6043
   63       0.0024       0.1518       0.1081       0.0278 31.9195
   64       0.0027       0.1499       0.1058       0.0272 31.6869
   65       0.0036       0.1503       0.1037       0.0275 31.4357
   66       0.0031       0.1499       0.1015       0.0272 32.4994
   67       0.0028       0.1487       0.0994       0.0268 31.5394
   68       0.0026       0.1457       0.0980       0.0257 31.4653
   69       0.0027       0.1443       0.0963       0.0252 31.3935
   70       0.0021       0.1415       0.0949       0.0242 31.5590
   71       0.0021       0.1384       0.0939       0.0231 32.9263
   72       0.0021       0.1364       0.0922       0.0224 32.0156
   73       0.0018       0.1296       0.0911       0.0203 32.7478
   74       0.0021       0.1268       0.0884       0.0194 31.5276
   75       0.0024       0.1229       0.0876       0.0183 31.9286
   76       0.0027       0.1233       0.0856       0.0185 31.5762
   77       0.0028       0.1218       0.0843       0.0180 31.7873
   78       0.0028       0.1199       0.0826       0.0175 31.8871
   79       0.0028       0.1156       0.0814       0.0163 31.8151
   80       0.0023       0.1121       0.0801       0.0153 31.8074
   81       0.0025       0.1073       0.0793       0.0140 32.7920
   82       0.0021       0.1022       0.0784       0.0127 31.7405
   83       0.0017       0.1014       0.0770       0.0124 31.4904
   84       0.0013       0.0991       0.0756       0.0118 32.7758
   85       0.0014       0.0989       0.0743       0.0118 31.3808
   86       0.0014       0.0992       0.0735       0.0119 32.8272
   87       0.0013       0.0975       0.0727       0.0115 33.0952
   88       0.0012       0.0961       0.0714       0.0111 33.0945
   89       0.0015       0.0926       0.0706       0.0104 32.7186
   90       0.0013       0.0936       0.0693       0.0106 31.6859
   91       0.0013       0.0953       0.0683       0.0109 31.6279
   92       0.0016       0.0906       0.0675       0.0099 31.7326
   93       0.0015       0.0877       0.0669       0.0093 33.0080
   94       0.0019       0.0891       0.0654       0.0096 31.4474
   95       0.0017       0.0874       0.0642       0.0092 32.7819
   96       0.0015       0.0846       0.0636       0.0087 31.5313
   97       0.0012       0.0786       0.0627       0.0075 31.3731
   98       0.0011       0.0775       0.0614       0.0072 33.0566
   99       0.0014       0.0763       0.0609       0.0070 31.5439
  100       0.0015       0.0746       0.0599       0.0067 31.8949
  101       0.0019       0.0709       0.0593       0.0061 32.9059
  102       0.0016       0.0665       0.0583       0.0054 32.9295
  103       0.0012       0.0654       0.0572       0.0052 31.7705
