Fri Mar 13 10:53:04 2020
--------------------------------------------------
LJ-Parameter Optimization
inital LJ parameter guess [sig, eps]: {'C': [0.972, 6.379], 'O': [1.09, 8.575], 'Cu': [2.168, 3.8386]}
Optimizer results: 
 fun: 1.4031175645961085 
 message: Max. number of function evaluations reached 
 nfev: 100 
 nit: 18 
 success: False
Fitted LJ parameters: {'C': array([1.        , 0.00189726]), 'O': array([1.        , 0.63255802]), 'Cu': array([1.38495238, 0.17549277])} 

a: 5.822498797522996
Optimization time: 2312.4332060813904 

Filename: COCu_rep_new_200_5k_LJ_100_iter_4
Dataset size: 600
Target scaling: [8.841315589518457, -6.0388791791387675]
Symmetry function parameters:
     G2_etas: [0.05       0.09653489 0.18637969 0.35984284 0.69474775 1.3413479
 2.58973734 5.        ]
     G2_rs_s: [0, 0, 0, 0, 0, 0, 0, 0]
     G4_etas: [0.005, 0.01]
     G4_zetas: [1.0, 4.0, 6.0]
     G4_gammas: [1.0, -1]
     cutoff: 5.876798323827276
Device: cpu
Model: FullNN(
  (elementwise_models): ModuleDict(
    (Cu): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=96, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
    (O): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=96, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
    (C): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=96, out_features=30, bias=True)
        (1): Tanh()
        (2): Linear(in_features=30, out_features=30, bias=True)
        (3): Tanh()
        (4): Linear(in_features=30, out_features=30, bias=True)
        (5): Tanh()
        (6): Linear(in_features=30, out_features=1, bias=True)
      )
    )
  )
)
Architecture:
   Input Layer - 96
   # of Hidden Layers - 3
   Nodes/Layer - 30
Loss Function: <class 'amptorch.model.CustomLoss'>
Force coefficient: 0.04
Optimizer: <class 'torch.optim.lbfgs.LBFGS'>
Learning Rate: 0.1
Batch Size: 600
Epochs: 200
Shuffle: False
Train Split (k-fold if int, fraction if float): 5

Training initiated...
Epoch   EnergyRMSE    ForceRMSE    TrainLoss    ValidLoss     Dur
===== ============ ============ ============ ============ =======
    1       0.0404       0.5881     136.9541       0.9281 80.4796
    2       0.0342       0.5590     134.8442       0.8202 84.4338
    3       0.0442       0.6312     132.3530       1.0735 84.6885
    4       0.0323       0.4440     127.6717       0.5356 84.2894
    5       0.0262       0.5666     120.6331       0.8117 84.5940
    6       0.0611       0.6039     115.6846       1.0992 84.2989
    7       0.0493       0.6104     108.2440       1.0403 83.1695
    8       0.0680       0.6281     103.8266       1.2240 79.9263
    9       0.0639       0.5974      95.0475       1.1016 77.3005
   10       0.0546       0.5793      91.0212       0.9845 80.1449
   11       0.0526       0.4468      85.7426       0.6452 78.4474
   12       0.0334       0.5440      79.2323       0.7770 77.8862
   13       0.0595       0.4269      72.0510       0.6498 79.2475
   14       0.0385       0.4003      62.9823       0.4737 78.5481
   15       0.0342       0.3827      52.0158       0.4216 79.1569
   16       0.0392       0.3151      45.5252       0.3307 79.1049
   17       0.0309       0.3056      41.8505       0.2813 76.4913
   18       0.0408       0.3694      37.2397       0.4273 76.3220
   19       0.0376       0.3202      34.0013       0.3310 76.4545
   20       0.0367       0.2609      31.2296       0.2444 76.5032
   21       0.0341       0.2530      29.7341       0.2236 79.9812
   22       0.0319       0.2441      28.4345       0.2039 79.9896
   23       0.0267       0.2505      26.5321       0.1934 78.5991
   24       0.0385       0.3158      24.2252       0.3282 78.8323
   25       0.0377       0.3298      21.6053       0.3465 76.0348
   26       0.0330       0.3225      19.6530       0.3151 75.4527
   27       0.0360       0.3023      18.2179       0.2972 78.6985
   28       0.0366       0.3280      16.8470       0.3384 76.3608
   29       0.0362       0.3363      15.3192       0.3501 79.5910
   30       0.0340       0.3390      14.3621       0.3451 76.4651
   31       0.0403       0.3711      13.2058       0.4278 79.5175
   32       0.0438       0.3395      11.9002       0.3919 79.8290
   33       0.0400       0.3286      10.8471       0.3554 75.5813
   34       0.0380       0.3127      10.1767       0.3213 76.2308
   35       0.0358       0.3440       8.6746       0.3608 90.7977
   36       0.0320       0.3468       8.0599       0.3499 81.8657
   37       0.0328       0.3524       7.5684       0.3628 84.3299
   38       0.0343       0.3220       6.9763       0.3195 88.5635
   39       0.0359       0.3184       6.6071       0.3208 85.3367
   40       0.0351       0.3482       6.3282       0.3648 84.8171
   41       0.0368       0.3276       6.0629       0.3387 87.6169
   42       0.0347       0.3071       5.8233       0.2986 85.1929
   43       0.0332       0.3111       5.4181       0.2984 84.5513
   44       0.0321       0.3384       5.3029       0.3365 88.1903
   45       0.0312       0.3290       5.1721       0.3183 84.0725
   46       0.0273       0.3035       5.0633       0.2658 87.4362
   47       0.0260       0.3057       4.9236       0.2649 85.1707
   48       0.0257       0.3127       4.8156       0.2744 87.9369
   49       0.0252       0.2971       4.7592       0.2500 84.4272
   50       0.0252       0.2998       4.6694       0.2537 84.6428
   51       0.0242       0.3103       4.6097       0.2663 84.0139
   52       0.0242       0.3040       4.5631       0.2571 84.0356
   53       0.0253       0.2998       4.5160       0.2542 85.1873
   54       0.0244       0.2793       4.4039       0.2230 75.8007
   55       0.0259       0.2873       4.3257       0.2384 72.5829
   56       0.0264       0.3156       4.2216       0.2809 69.6022
   57       0.0262       0.3194       4.1014       0.2861 71.4230
   58       0.0278       0.3157       4.0378       0.2854 69.2633
   59       0.0283       0.3005       3.9878       0.2647 72.1435
   60       0.0260       0.2872       3.9173       0.2385 69.1907
   61       0.0249       0.2829       3.8449       0.2292 71.8151
