Tue Mar 10 15:18:31 2020
--------------------------------------------------
LJ-Parameter Optimization
inital LJ parameter guess [sig, eps]: {'C': [1.0, 6.3535], 'O': [1.0808, 8.5357], 'Cu': [2.1717, 3.7575]}
Optimizer results: 
 fun: 0.0629581695412398 
 message: Converged (|f_n-f_(n-1)| ~= 0) 
 nfev: 100 
 nit: 18 
 success: True
Fitted LJ parameters: {'C': array([1.        , 0.00992567]), 'O': array([1.        , 2.63437425]), 'Cu': array([ 1.62988887, 10.        ])} 

a: 15.0
Optimization time: 293.9129731655121 

Filename: COCu_rep_newfit_f100_LJ
Dataset size: 100
Target scaling: [8.841315589518457, 0.18354477315422726]
Symmetry function parameters:
     G2_etas: [0.05       0.23207944 1.07721735 5.        ]
     G2_rs_s: [0, 0, 0, 0]
     G4_etas: [0.005, 0.01]
     G4_zetas: [1.0, 4.0]
     G4_gammas: [1.0, -1]
     cutoff: 5.876798323827276
Device: cpu
Model: FullNN(
  (elementwise_models): ModuleDict(
    (Cu): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=60, out_features=20, bias=True)
        (1): Tanh()
        (2): Linear(in_features=20, out_features=20, bias=True)
        (3): Tanh()
        (4): Linear(in_features=20, out_features=1, bias=True)
      )
    )
    (O): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=60, out_features=20, bias=True)
        (1): Tanh()
        (2): Linear(in_features=20, out_features=20, bias=True)
        (3): Tanh()
        (4): Linear(in_features=20, out_features=1, bias=True)
      )
    )
    (C): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=60, out_features=20, bias=True)
        (1): Tanh()
        (2): Linear(in_features=20, out_features=20, bias=True)
        (3): Tanh()
        (4): Linear(in_features=20, out_features=1, bias=True)
      )
    )
  )
)
Architecture:
   Input Layer - 60
   # of Hidden Layers - 2
   Nodes/Layer - 20
Loss Function: <class 'amptorch.model.CustomLoss'>
Force coefficient: 0.04
Optimizer: <class 'torch.optim.lbfgs.LBFGS'>
Learning Rate: 0.1
Batch Size: 100
Epochs: 200
Shuffle: False
Train Split (k-fold if int, fraction if float): 5

Training initiated...
Epoch   EnergyRMSE    ForceRMSE    TrainLoss    ValidLoss     Dur
===== ============ ============ ============ ============ =======
    1       0.0044       0.1760       3.3539       0.0126  5.8919
    2       0.0024       0.1259       0.0672       0.0064  6.0531
    3       0.0018       0.0750       0.0310       0.0023  6.1871
    4       0.0015       0.0929       0.0254       0.0035  5.6721
    5       0.0022       0.0635       0.0220       0.0017  6.4274
    6       0.0012       0.0407       0.0122       0.0007  6.2727
    7       0.0011       0.0415       0.0060       0.0007  6.3077
    8       0.0015       0.0416       0.0051       0.0007  6.6066
    9       0.0010       0.0334       0.0045       0.0005  6.7238
   10       0.0012       0.0358       0.0037       0.0005  6.3153
   11       0.0008       0.0307       0.0033       0.0004  6.3797
   12       0.0007       0.0282       0.0032       0.0003  5.9399
   13       0.0006       0.0292       0.0030       0.0003  6.0418
   14       0.0003       0.0267       0.0029       0.0003  6.0338
   15       0.0006       0.0253       0.0027       0.0003  5.6802
   16       0.0006       0.0261       0.0026       0.0003  5.1579
   17       0.0005       0.0294       0.0025       0.0003  5.4265
   18       0.0008       0.0269       0.0024       0.0003  5.3759
   19       0.0005       0.0283       0.0023       0.0003  5.3518
   20       0.0005       0.0276       0.0023       0.0003  5.1447
   21       0.0002       0.0278       0.0021       0.0003  5.4154
   22       0.0002       0.0297       0.0021       0.0004  5.4959
   23       0.0003       0.0306       0.0020       0.0004  5.2203
   24       0.0004       0.0299       0.0020       0.0004  5.3079
   25       0.0004       0.0326       0.0019       0.0004  4.5159
   26       0.0004       0.0312       0.0018       0.0004  5.1902
   27       0.0002       0.0319       0.0017       0.0004  5.5661
   28       0.0002       0.0315       0.0017       0.0004  5.2391
   29       0.0002       0.0306       0.0017       0.0004  5.4920
   30       0.0002       0.0325       0.0017       0.0004  5.4580
   31       0.0001       0.0345       0.0016       0.0005  5.6276
   32       0.0001       0.0331       0.0016       0.0004  5.2515
   33       0.0002       0.0304       0.0016       0.0004  5.5246
   34       0.0002       0.0286       0.0016       0.0003  5.4262
   35       0.0001       0.0275       0.0015       0.0003  5.4553
   36       0.0003       0.0292       0.0015       0.0003  5.4291
   37       0.0002       0.0284       0.0015       0.0003  5.3541
   38       0.0002       0.0286       0.0015       0.0003  5.3924
   39       0.0002       0.0268       0.0015       0.0003  5.2371
   40       0.0002       0.0226       0.0015       0.0002  5.3710
   41       0.0002       0.0224       0.0014       0.0002  5.2874
   42       0.0002       0.0220       0.0014       0.0002  5.3631
   43       0.0001       0.0185       0.0014       0.0001  5.5221
   44       0.0001       0.0178       0.0014       0.0001  5.5407
   45       0.0003       0.0170       0.0014       0.0001  5.3197
   46       0.0002       0.0180       0.0014       0.0001  5.2412
   47       0.0002       0.0176       0.0013       0.0001  5.3000
   48       0.0003       0.0170       0.0013       0.0001  5.2507
   49       0.0001       0.0201       0.0013       0.0002  5.2439
   50       0.0001       0.0198       0.0013       0.0002  5.5050
   51       0.0001       0.0196       0.0013       0.0002  5.3672
   52       0.0001       0.0187       0.0013       0.0001  5.4898
   53       0.0002       0.0199       0.0012       0.0002  5.4876
   54       0.0002       0.0196       0.0012       0.0002  5.5145
   55       0.0002       0.0185       0.0012       0.0001  5.3023
   56       0.0002       0.0190       0.0012       0.0001  5.4571
   57       0.0001       0.0198       0.0012       0.0002  5.5103
   58       0.0002       0.0202       0.0012       0.0002  5.3320
   59       0.0001       0.0211       0.0012       0.0002  5.6451
   60       0.0001       0.0202       0.0012       0.0002  5.3325
   61       0.0001       0.0196       0.0011       0.0002  6.0872
   62       0.0001       0.0222       0.0011       0.0002  5.3829
   63       0.0003       0.0223       0.0011       0.0002  5.9076
   64       0.0003       0.0225       0.0011       0.0002  6.1045
   65       0.0003       0.0209       0.0011       0.0002  5.7792
   66       0.0002       0.0193       0.0011       0.0001  5.6265
   67       0.0002       0.0182       0.0011       0.0001  5.9668
   68       0.0002       0.0180       0.0011       0.0001  5.9004
   69       0.0002       0.0191       0.0011       0.0001  6.8391
   70       0.0003       0.0174       0.0011       0.0001  5.8196
   71       0.0002       0.0183       0.0010       0.0001  6.3156
   72       0.0002       0.0175       0.0010       0.0001  5.7304
   73       0.0002       0.0164       0.0010       0.0001  6.0653
   74       0.0002       0.0170       0.0010       0.0001  5.7674
   75       0.0002       0.0171       0.0010       0.0001  5.9535
   76       0.0001       0.0178       0.0010       0.0001  6.4510
   77       0.0002       0.0181       0.0010       0.0001  6.1629
   78       0.0001       0.0193       0.0010       0.0001  5.9686
   79       0.0002       0.0194       0.0010       0.0002  6.4456
   80       0.0002       0.0181       0.0010       0.0001  5.8859
   81       0.0001       0.0169       0.0010       0.0001  6.0427
   82       0.0002       0.0150       0.0009       0.0001  6.1853
   83       0.0001       0.0155       0.0009       0.0001  6.2174
   84       0.0001       0.0164       0.0009       0.0001  5.9223
   85       0.0001       0.0165       0.0009       0.0001  5.6866
   86       0.0002       0.0177       0.0009       0.0001  5.3931
   87       0.0002       0.0184       0.0009       0.0001  5.9546
   88       0.0002       0.0178       0.0009       0.0001  5.7595
   89       0.0001       0.0199       0.0009       0.0002  5.9644
   90       0.0002       0.0193       0.0009       0.0002  6.0212
   91       0.0002       0.0187       0.0008       0.0001  6.2011
   92       0.0001       0.0188       0.0008       0.0001  5.7854
   93       0.0002       0.0188       0.0008       0.0001  5.9465
   94       0.0001       0.0192       0.0008       0.0001  5.9954
   95       0.0001       0.0196       0.0008       0.0002  5.8961
   96       0.0001       0.0184       0.0008       0.0001  5.5216
