Filename: COCu_rep_nofit_f100_LJ
Dataset size: 100
Target scaling: [8.841315589518457, 59.84514390057107]
Symmetry function parameters:
     G2_etas: [0.05       0.23207944 1.07721735 5.        ]
     G2_rs_s: [0, 0, 0, 0]
     G4_etas: [0.005, 0.01]
     G4_zetas: [1.0, 4.0]
     G4_gammas: [1.0, -1]
     cutoff: 5.876798323827276
Device: cpu
Model: FullNN(
  (elementwise_models): ModuleDict(
    (Cu): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=60, out_features=20, bias=True)
        (1): Tanh()
        (2): Linear(in_features=20, out_features=20, bias=True)
        (3): Tanh()
        (4): Linear(in_features=20, out_features=1, bias=True)
      )
    )
    (O): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=60, out_features=20, bias=True)
        (1): Tanh()
        (2): Linear(in_features=20, out_features=20, bias=True)
        (3): Tanh()
        (4): Linear(in_features=20, out_features=1, bias=True)
      )
    )
    (C): MLP(
      (model_net): Sequential(
        (0): Linear(in_features=60, out_features=20, bias=True)
        (1): Tanh()
        (2): Linear(in_features=20, out_features=20, bias=True)
        (3): Tanh()
        (4): Linear(in_features=20, out_features=1, bias=True)
      )
    )
  )
)
Architecture:
   Input Layer - 60
   # of Hidden Layers - 2
   Nodes/Layer - 20
Loss Function: <class 'amptorch.model.CustomLoss'>
Force coefficient: 0.04
Optimizer: <class 'torch.optim.lbfgs.LBFGS'>
Learning Rate: 0.1
Batch Size: 100
Epochs: 200
Shuffle: False
Train Split (k-fold if int, fraction if float): 5

Training initiated...
Epoch   EnergyRMSE    ForceRMSE    TrainLoss    ValidLoss     Dur
===== ============ ============ ============ ============ =======
    1       0.0490       2.3517     292.3367       2.2361  4.9575
    2       0.0318       0.8814       3.7284       0.3209  4.8297
    3       0.0139       0.4585       1.3476       0.0860  4.7207
    4       0.0125       0.4131       0.9097       0.0698  4.9260
    5       0.0122       0.3563       0.7930       0.0523  4.7311
    6       0.0104       0.4626       0.7336       0.0867  4.9023
    7       0.0098       0.3488       0.6437       0.0496  4.7650
    8       0.0086       0.4263       0.5396       0.0734  5.0281
    9       0.0076       0.4300       0.4279       0.0746  4.7681
   10       0.0007       0.4040       0.3368       0.0653  4.9422
   11       0.0029       0.3596       0.2737       0.0518  4.9565
   12       0.0019       0.3539       0.2284       0.0501  4.7639
   13       0.0021       0.3707       0.2022       0.0550  5.9125
   14       0.0045       0.3517       0.1815       0.0497  8.1494
   15       0.0032       0.3375       0.1477       0.0457  8.7177
   16       0.0020       0.2914       0.1340       0.0340  9.7225
   17       0.0022       0.2825       0.1141       0.0320  8.4084
   18       0.0026       0.2721       0.1050       0.0297  8.8396
   19       0.0013       0.2485       0.0967       0.0247  8.3470
   20       0.0024       0.2326       0.0923       0.0217  8.4169
   21       0.0017       0.1927       0.0878       0.0149  8.2844
   22       0.0028       0.1977       0.0831       0.0157  8.7866
   23       0.0014       0.2022       0.0811       0.0164  8.5377
   24       0.0025       0.2012       0.0769       0.0163  8.2368
   25       0.0009       0.1958       0.0744       0.0153  8.6692
   26       0.0008       0.2000       0.0703       0.0160  8.9152
   27       0.0019       0.1892       0.0691       0.0144  8.8992
   28       0.0025       0.1943       0.0661       0.0152  8.1045
   29       0.0022       0.1954       0.0629       0.0153  5.2586
   30       0.0011       0.1901       0.0618       0.0145  5.4595
   31       0.0016       0.1919       0.0603       0.0147  5.2884
   32       0.0011       0.1835       0.0593       0.0135  5.2484
   33       0.0010       0.1858       0.0580       0.0138  5.2156
   34       0.0015       0.1805       0.0573       0.0131  5.2180
   35       0.0014       0.1768       0.0557       0.0125  5.4591
   36       0.0019       0.1763       0.0546       0.0125  5.5366
   37       0.0018       0.1683       0.0539       0.0114  5.3091
   38       0.0005       0.1657       0.0526       0.0110  5.2141
   39       0.0003       0.1640       0.0517       0.0108  5.5638
   40       0.0005       0.1573       0.0511       0.0099  5.3075
   41       0.0006       0.1547       0.0506       0.0096  5.2633
   42       0.0005       0.1445       0.0498       0.0084  5.2463
   43       0.0008       0.1318       0.0488       0.0069  5.5260
   44       0.0008       0.1437       0.0482       0.0083  5.2402
   45       0.0010       0.1446       0.0474       0.0084  5.2823
   46       0.0006       0.1497       0.0469       0.0090  5.2286
   47       0.0008       0.1704       0.0464       0.0116  5.2252
   48       0.0010       0.1653       0.0458       0.0109  5.5618
   49       0.0007       0.1795       0.0447       0.0129  5.3530
   50       0.0007       0.1666       0.0438       0.0111  5.3910
   51       0.0007       0.1563       0.0435       0.0098  5.3106
   52       0.0006       0.1579       0.0431       0.0100  5.2991
   53       0.0006       0.1535       0.0428       0.0094  5.2897
   54       0.0005       0.1512       0.0424       0.0091  5.2754
   55       0.0007       0.1428       0.0420       0.0082  5.2834
